"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",275858900,67.5252050839137,0.82352857305806,0.788024100179741,0.39999030444057,1213076500,91.09384,90.0142866666666,2.746023346856,7.80306857146847,1.96794653381787
"Day18",256835500,62.4342701566399,0.6,0.724510616174938,-0.68750189365248,956241000,91.37232,90.3890266666666,0.852212005226752,4.35037864322266,-1.1761800600703
"Day19",171414800,63.5614121295836,0.603450293375235,0.675659622144432,0.393935832647787,1127655800,91.60954,90.6709466666666,0.905461520903208,1.59547609603352,0.449732401425784
"Day20",222370100,53.4210894894828,0.198274853312381,0.467241715562539,-0.846142372375732,905285700,91.2898,90.6056266666667,-1.4196931357457,-1.64301660265256,-2.67136606224971
"Day21",221077300,45.0267097372295,0.0943338699448751,0.298686338877497,-0.387787407495351,684208400,90.50592,90.3305866666666,-6.18039457872626,-3.43837440076808,-2.98182015871724
"Day22",101963500,44.0046090913402,0.0503073320649781,0.114305351774078,-0.636347611493041,582244900,89.28886,90.10024,-5.46476682183111,-3.89463560257569,-0.416304491552655
"Day23",72425500,46.0761550201611,0.119493633835796,0.0880449452818831,0.777849601379019,654670400,88.40186,89.9042733333333,-5.27200138336203,-3.26459488815194,0.653433356224209
"Day24",74622300,43.1097712324023,0.00625363583478858,0.0586848672451875,-0.916619536236556,580048100,87.23638,89.6429866666667,-3.80179634765727,-2.9632968085406,-1.13125886028875
"Day25",89601200,44.7232556143625,0.0736149609203051,0.0664540768636299,-8.07950230292644e-05,669649300,86.63816,89.4951533333333,-0.415439145645374,-3.50777423930207,0.477825504064544
"Day26",168649200,39.7184355359062,0.0753812423873327,0.0517499463808086,-0.399984487706505,501000100,86.2256,89.17198,-1.96660310856878,-6.85163143493365,-1.9861980764964
"Day27",71006100,39.006050893655,0.050250913520097,0.0664157056092448,0.0525563833044087,429994000,85.83366,88.7387866666666,-2.90118630621694,-6.17849706417114,-0.304471380401505
"Day28",62095900,36.7359083595962,0.00965807962529385,0.0450967451775743,-0.818245923314215,367898100,85.16324,88.3124733333333,-2.75456471885976,-7.72730978650078,-0.980370304595723
"Day29",99385900,35.0866400087081,0.0524065167321498,0.0374385032925134,-0.351291861013574,268512200,84.56502,87.8036466666667,-3.93320621713757,-8.77192597404877,-0.741607026857416
"Day30",69577500,34.8059877250831,0.0436678634331387,0.0352441532635273,0.142659279778387,198934700,83.86366,87.2638733333333,-2.12770471937874,-8.57475714471334,-0.124217936574045
"Day31",56110400,34.6570070051538,0.0517288934580373,0.0492677578744418,0.41188547963955,142824300,83.49236,86.7412933333333,-1.89014996104064,-10.4119723214025,-0.0620463632726498
"Day32",61833500,34.0286627185957,0.0738957664679812,0.0564308411197189,0.428624192059082,80990800,83.13138,86.0846333333333,-1.16990765395188,-9.57740724273057,-0.248933594051692
"Day33",71190800,37.6785537598975,0.139174587943667,0.0882664159565618,0.294171324284255,152181600,83.05918,85.5414266666666,0.310111462094952,-9.31017869513724,0.744829502197231
"Day34",46183100,37.4926396986785,0.201560292216578,0.138210215542742,0.666828243658108,105998500,83.10044,84.96728,0.372764916016486,-6.9123976136568,-0.0617776755135857
"Day35",51437400,34.3824735393873,0.0849172230860705,0.141884034415438,-0.454433280451263,54561100,82.987,84.4962733333333,-0.621499770417473,-5.10380224636347,-1.05755735241599
"Day36",56505300,37.6584873023206,0.269568003237446,0.185348506180031,0.771510887029742,111066400,82.987,84.2349866666666,0.249243690981316,-4.11197781244583,0.623439119784042
"Day37",28409600,36.2925277668497,0.208697265032207,0.187727497118574,-0.866597724922421,82656800,82.95606,83.9737,-0.927578151607161,-5.15095468202332,-0.436011039034323
"Day38",34762700,36.2925277668497,0.214286950951368,0.23085073974034,0.142936288088645,82656800,82.80136,83.6745933333333,-0.866354603018795,-4.07187436500334,0
"Day39",36441500,34.2351837285359,0.137257138511843,0.186747118165139,-0.857063711911374,46215300,82.55382,83.4064266666666,-0.437782709402025,-5.1250938926446,-0.626171864625924
"Day40",45173400,39.4128584349784,0.39434657927079,0.248630222911333,0.646857533934083,91388700,82.626,83.1588866666666,-0.186558395308556,-2.37088781279028,0.875450271441292
"Day41",62306900,43.835761765878,0.621224585732755,0.384276101171796,0.579097775056142,153695600,82.72914,83.0695,1.06117844429085,-1.28039746829156,0.806309057755605
