"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",76448900,56.2549173878835,0.370945172369926,0.25268201670695,-0.45500179275727,440636100,9.70236,9.71673333333333,2.24219912392961,2.64911730909849,0.517282112514517
"Day18",54311700,49.6292626736118,0.128991222490777,0.268795318661748,-0.111305872042066,386324400,9.70742,9.72096,-0.653621724159258,0,-1.95453994780146
"Day19",29323300,50.0522835857062,0.145146927871773,0.215027774244159,0.599369085173509,415647700,9.69728,9.72180666666667,0.528213035505927,-0.782503187595098,0.131705186132702
"Day20",40421000,53.8057941406082,0.290293855743543,0.188144002035365,0.73291272344899,456068700,9.73024,9.72434,-0.129911312513432,-0.901339829476257,1.17555687874038
"Day21",31420200,50.6210412733209,0.177458338633762,0.204299707416359,-0.230582524271847,424648500,9.70996,9.71250666666667,-1.54783953758166,0.131445486348306,-0.912665754636688
"Day22",151024400,61.2217800550435,0.661366238392062,0.376372810923123,0.142857142857142,575672900,9.75562,9.73871333333333,4.34290813996928,2.19121278952771,3.85665198804688
"Day23",166586700,67.0596465047053,0.842067033309122,0.560297203444982,0.428464138190014,742259600,9.89764,9.77252666666667,7.22761708345856,3.81693942464956,2.85882203954313
"Day24",83108500,65.2211621346842,0.789457299989624,0.764296857230269,-0.333041191936898,659151100,10.02698,9.79450666666667,5.4551786299574,6.28251713601453,-0.491225318401423
"Day25",68598100,64.2705116365071,0.763100549963682,0.798208294420809,0.699526813880127,590553000,10.12842,9.83338666666666,6.15949144658639,6.57922045577187,-0.247007351035577
"Day26",49385100,60.4805320406145,0.657881083324687,0.736812977759331,-0.166337935568704,541167900,10.22732,9.86889333333333,1.13477011208466,5.24953942329588,-0.992209476637607
"Day27",66614900,60.7923822353466,0.671059458337657,0.697347030542009,-0.683686176836861,607782800,10.25268,9.90355333333333,-1.59280916251874,5.93688547616817,0.124811447750295
"Day28",38574800,56.9261015632645,0.565736224966276,0.63155892220954,-0.55652936021035,569208000,10.19942,9.93482666666666,-2.09405777112998,3.92173034495556,-1.00188875702751
"Day29",24348100,56.9261015632645,0.565736224966276,0.600843969423403,0.24926108374384,569208000,10.1563,9.96018666666666,-1.85192397569716,5.01958659776629,0
"Day30",44793100,57.7067443919573,0.592092974992219,0.574521808308257,0.20031545741326,614001100,10.12334,9.994,-0.623463467400921,3.37257950674619,0.251662192290292
"Day31",39556900,58.9066425428577,0.631524333298744,0.596451177752413,0.333333333333326,653558000,10.11826,10.0185133333333,-0.374200771973246,3.22593776077178,0.375323910161418
"Day32",78716500,64.6702793282941,0.839957939011568,0.68785841576751,0.519873817034707,732274500,10.15122,10.0531733333333,2.64181266244718,7.36893445685111,1.98053335290012
"Day33",116201000,70.2809174955815,0.929393208387456,0.800291826899256,0.555490654205605,848475500,10.2552,10.11742,5.15763576119521,9.85584147744348,2.42151367660397
"Day34",78487600,70.5332904751112,0.806132303235152,0.858494483544725,-0.461328480436764,926963100,10.36172,10.1816666666667,5.01899936668777,8.70206489675517,0.119738475336817
"Day35",47146000,71.3181275607439,0.807202584568605,0.847576032063738,0.636428827536758,974109100,10.47076,10.24084,5.00019716865808,10.0914775957414,0.357418691600353
"Day36",51345400,65.6628450913979,0.642857142857142,0.7520640102203,-0.89456205894563,922763700,10.54938,10.29832,1.83830280771274,4.79169360212434,-1.07706055949084
"Day37",38071400,65.9861504595796,0.636396224160593,0.695485317195447,-0.537901758641599,960835100,10.58996,10.3312866666667,-0.478297374553062,1.96104963030976,0.120458515663557
"Day38",34979800,68.2356850893799,0.742382602461465,0.673878656493067,0.599369085173503,995814900,10.59756,10.3507266666667,0.238391376451075,3.3246566561122,0.837291027226605
"Day39",91976600,71.9497942756747,0.939419285458238,0.772732704026766,0.785915492957745,1087791500,10.6356,10.38454,1.42900063844968,5.18577660071661,1.53819767956964
"Day40",64948700,72.4814437248727,0.799980283911672,0.827260723943792,-0.280126182965297,1152740200,10.6711,10.4217333333333,2.76746989095258,6.48343003245157,0.233920398094778
"Day41",21401400,73.3020894820372,0.837539432176657,0.85897966718219,0.333771353482267,1174141600,10.73704,10.4682266666667,3.00491023186153,6.72481019868982,0.351238221034844
"Day42",46730400,68.19738638504,0.75,0.795839905362777,0.473640514736408,1127411200,10.78268,10.5079533333333,1.31132439063367,6.91851352155711,-0.820555334038264
"Day43",25475100,64.7313753347893,0.683537985424778,0.757025805867145,0.250493096646937,1101936100,10.7979,10.55022,-0.82199389058594,6.28955774687011,-0.5899941736764
"Day44",31749200,67.2425702409397,0.769261880687562,0.734266622037447,0.692961165048526,1133685300,10.7979,10.5984066666667,-0.233647017537392,6.90112412919568,0.825390888585043
"Day45",58648400,74.0589417973534,0.918653705062363,0.790484523724901,0.58849454882858,1192333700,10.8537,10.6651866666667,2.21692556872561,9.50057178910841,2.77786764790697
"Day46",31192000,72.6990983610532,0.867664115054511,0.851859900268146,-0.199789695057846,1161141700,10.8968,10.72774,2.82344863420427,7.10771758565697,-0.228940305141467
"Day47",50405800,66.7682350554735,0.704939229376779,0.830419016497885,-0.294063079777364,1110735900,10.93484,10.76916,2.36695226895149,3.46883519966794,-1.03494395338086
"Day48",20339500,62.4950977644089,0.590121541246447,0.720908295225913,-0.600946372239723,1090396400,10.9678,10.7877533333333,0.703508284735743,2.50829187396353,-0.812938178974809
"Day49",55451200,60.7046797589017,0.5,0.598353590207742,0.0910394265232763,1034945200,10.9754,10.8029666666667,-2.39752235016612,1.78578134975776,-0.349908275979116
"Day50",32696800,58.3046282541956,0.428591549295776,0.506237696847408,1.75183120256435e-14,1002248400,10.912,10.8122666666667,-2.63131773432353,2.40682566648002,-0.468766027384282
"Day51",72457900,52.6934857830887,0.250000000000002,0.39286384976526,-0.124691966485943,929790500,10.82832,10.82072,-2.77448531154835,1.0815780992284,-1.18208873498014
"Day52",102334900,53.651927900913,0.285633802816903,0.321408450704228,0.666228646517745,1032125400,10.77252,10.8300133333333,-1.74832245610811,0.476588864552889,0.236976923703658
"Day53",81956700,54.1540551073344,0.220031545741323,0.25188844951941,0.499507389162536,1114082100,10.73702,10.83424,-1.28678166220828,-0.939553827640468,0.118745426593359
"Day54",76056800,52.3273218073976,0.160094637223975,0.221919995260734,-0.111305872042058,1038025300,10.70152,10.82494,-1.17512951447132,-1.52193788498656,-0.355722350297016
"Day55",38910800,51.0868466727206,0.120031545741323,0.166719242902207,0.599369085173481,999114500,10.67108,10.81226,-0.23819571435271,-2.10097180298904,-0.238479851635942
"Day56",56435800,52.8908637314301,0.180126182965298,0.153417455310199,0.429537767756486,1055550300,10.67362,10.79958,-0.117880398173797,-0.94084026128266,0.35750684357474
"Day57",83008500,46.7155954728673,0.105299571052996,0.135152433253206,-0.199789695057834,972541800,10.64574,10.7843666666667,-1.42129607998878,-1.53814563849844,-1.19479787080135
"Day58",54263500,44.4794112041452,0.0518085395703019,0.112411431196199,-0.537621359223305,918278300,10.60518,10.77,-1.54545880808366,-2.81681014533,-0.481754629224884
"Day59",52509900,49.0724375129426,0.172423171063368,0.109843760562223,0.799684542586768,970788200,10.58996,10.7556266666667,-0.476588864552872,-4.68070548198032,0.841317485857696
"Day60",35756300,49.0724375129426,0.196072367403744,0.140101359345805,0.332457293035497,970788200,10.57982,10.7209666666667,-0.83175661752308,-4.46223120584014,0
"Day61",55610300,52.3407746854896,0.365839584535489,0.244778374334201,0.427927927927935,1026398500,10.57474,10.6922266666667,0.961192105712173,-2.89027881617097,0.59703918719447
"Day62",46345400,45.4319389322779,0.114240648940966,0.2253842002934,-0.571830985915491,980053100,10.56712,10.6617933333333,0.120014858982549,-3.37990624138249,-1.31841377433193
"Day63",66711200,43.7383005071449,0.216158601577489,0.232079611684649,0.230582524271847,913341900,10.56204,10.6347466666667,-1.07769612936132,-3.39175352827229,-0.362170749372526
"Day64",32652100,40.9925877230618,0.0936652699038706,0.141354840140776,-0.250493096646937,880689800,10.52654,10.6060066666667,-1.67652114777944,-3.52538854341399,-0.607188503530987
"Day65",22270900,42.5486346775029,0.178591549295774,0.162805140259045,0.201892744479502,902960700,10.49612,10.58234,-2.02332219176025,-2.14001031556244,0.243701308415867
"Day66",27920200,44.1290586375663,0.249859154929575,0.174038658043074,0.499507389162571,930880900,10.45808,10.5688133333333,-0.482338055235802,-2.13494498914753,0.242152885138669
"Day67",33325800,39.9769328331587,0.0345390263802028,0.154329910201851,-0.817921146953396,897555100,10.4302,10.5476866666667,-0.96817621952966,-3.0799420641966,-0.85155920804838
"Day68",57076200,33.2342110672909,0.0242400923432105,0.102879424550997,-0.847087378640768,840478900,10.3744,10.5138733333333,-2.07110539006139,-4.40005626670418,-1.7271485727115
"Day69",27237500,34.9247191755596,0.136404373543646,0.0650611640890203,1,867716400,10.33636,10.4842866666667,-2.06606422431555,-3.93303315441667,0.24884895765287
"Day70",29338100,37.4753584744718,0.214232069095006,0.124958844993955,1,897054500,10.30084,10.4589266666667,-1.93965929296598,-3.91993405893483,0.371141293518829
"Day71",44717200,37.4753584744718,0.214232069095006,0.18828950391122,0.332164767747593,897054500,10.26026,10.4310266666667,-1.10105188056191,-2.76508616603788,0
"Day72",59621000,31.3040589424954,0.0611620795107038,0.163208739233573,-0.454806312769007,837433500,10.20446,10.4005933333333,-0.994673494011359,-3.86524045834245,-1.61964367217582
"Day73",28371500,30.0742525526755,0.0200315457413259,0.0984752314490125,-0.499013806706099,809062000,10.17658,10.3710066666667,-1.61257179760658,-5.02956344333831,-0.377212847639363
"Day74",36611400,33.8104886625173,0.151019193572387,0.0774042729414727,0.333771353482275,845673400,10.15376,10.3388866666667,-1.48278853934117,-4.55069233239511,0.502964776481596
"Day75",30044300,35.6580077973334,0.196072367403744,0.122374368905819,0.11033274956218,875717700,10.1284,10.3084533333333,-1.23614455482222,-4.88132346865963,0.250043368978359
"Day76",33036500,35.6580077973334,0.238077356365004,0.195056305780379,1,875717700,10.10304,10.2737933333333,0.376502293691608,-3.61896244993483,0
"Day77",33302400,40.4859018460014,0.38455317428225,0.272900966016999,0.666228646517725,909020100,10.12332,10.25266,1.38638872589484,-2.66391681704907,0.623858123183529
"Day78",38998900,34.8531575612039,0.128184391427419,0.250271640691558,-0.667324128862573,870021200,10.12584,10.2256066666667,-0.377018682710577,-3.28917664915128,-1.25163268172779
"Day79",51271300,41.8298255515199,0.3334007278609,0.282046097856857,1,921292500,10.13852,10.2095466666667,0.376077150105124,-2.55191513420792,1.00314630655283
"Day80",42249200,42.657301113719,0.359078042862919,0.273554387383746,0.250493096646937,963541700,10.14868,10.19264,0.501436200140154,-2.66619505573294,0.124811447750295
"Day81",36091100,39.6268026853108,0.333528037383177,0.342002269368999,0.000985221674857053,927450600,10.14616,10.16982,-0.745514650343825,-2.4450679239098,-0.624632572783135
"Day82",40859200,36.2938172286727,0.166611896155107,0.286405992133735,-0.20031545741326,886591400,10.11574,10.14784,-0.251303700024847,-1.49201024101705,-0.754945179316202
"Day83",37937500,39.9194693537517,0.33322379231022,0.277787908616169,0.599369085173509,924528900,10.12082,10.14108,-0.748352837053794,-1.24074092194486,0.503599258519882
"Day84",47234500,37.6141030444652,0.166611896155107,0.222149194873479,-0.691934505761073,877294400,10.09546,10.1292466666667,-1.37010518872094,-2.1008608167523,-0.503599258519882
