"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",45005600,51.5920568466132,0.208053392094589,0.212527790172669,-0.591840206254068,-104640500,1415.72218,1430.25972666667,-4.78668575189136,2.46360188711537,-1.24900122124005
"Day18",72159300,51.5920568466132,0.19178077303908,0.22835631913427,-0.161293304092834,-104640500,1401.59412,1432.51202,1.49749912380485,3.15670843489931,0
"Day19",108839800,49.5501071402776,0.201238182869465,0.200357449334378,0.710526451077798,-213480300,1402.36194,1434.25243333333,-0.165655378992322,1.45903178202202,-1.20946859104629
"Day20",40822600,48.7009245918008,0.173374632976437,0.188797862961661,0.500008139831449,-254302900,1400.51916,1435.12264,-2.91419048062176,0.953985411070784,-0.499026619969012
"Day21",35174800,45.967230243947,0.0835910528909075,0.15273462291227,-0.894740810556084,-289477700,1387.7732,1434.50837333333,-3.27868794124599,-6.34920525541764,-1.62514621262533
"Day22",51366700,44.3048832093451,0.0513595641651256,0.102775083344157,0,-340844400,1375.79508,1427.44435333333,-4.26229361193988,-6.41025525073521,-1.02215447479859
"Day23",22546000,45.0186483602523,0.0694865617449136,0.0681457262669822,0.499999999999995,-318298400,1364.73836,1421.60886,-2.76548498059297,-5.02430781906498,0.341882831396045
"Day24",23737400,45.5199103177032,0.0815710956426354,0.0674724071842248,-0.241379620065559,-294561000,1357.67434,1417.05308,-2.05670141715535,-12.3383104112243,0.227271790801176
"Day25",35252500,44.2174952571881,0.0453174939494709,0.0654583837790065,-0.187497201929142,-329813500,1350.14962,1403.74405333333,-1.12993838960619,-11.526794668931,-0.683370840774788
"Day26",25470000,45.3403112515028,0.0938777788409405,0.0735887894776822,-0.15789617992009,-304343500,1348.30684,1392.48256666667,0.342467917327484,-11.9679512910754,0.456099049973613
"Day27",20200800,46.5000198669577,0.231343486670102,0.123512919820171,0.57142591352237,-284142700,1350.45676,1380.65800666667,0.455060497798827,-8.11654879796693,0.454028227965608
"Day28",30935200,43.9873411520477,0.0820894361885149,0.135770233899852,-0.444450071992415,-315077900,1348.61396,1371.64881333333,-0.908062287486461,-3.16140309108355,-1.13896674037957
"Day29",24634200,43.3565901096203,0.194968738916506,0.169467220591708,0.240001667040013,-339712100,1345.38908,1368.47512,-0.514288942047267,-3.86526820494005,-0.286776496944086
"Day30",28477400,42.9585531624342,0.176100690749946,0.151052955284989,-1,-368189500,1343.54628,1364.73835333333,-1.13765865276875,-6.20615381284975,-0.172464483234691
"Day31",26359400,41.7211141076052,0.137681754392919,0.16958372801979,-0.519996665919974,-394548900,1339.09288,1358.39097333333,-2.09512626650545,-5.5191203124047,-0.519177771198187
"Day32",26772500,43.6629355965497,0.285714119595148,0.199832188246004,0.939388438101849,-367776400,1334.9466,1353.73281333333,-0.400916435835882,-4.97267825286286,0.576696491088935
"Day33",35124900,47.610685267771,0.535352844369078,0.319582906119048,0.272724402487913,-332651500,1337.09652,1350.14961333333,1.09132373431447,-2.65486961527161,1.20035753374559
"Day34",29032200,49.2519745494059,0.626262413652026,0.482443125872084,-0.128203758185756,-303619300,1341.39636,1348.15326,1.78366065913474,-1.66759633062059,0.510063837906927
"Day35",35946900,52.9554582165256,0.988095681079601,0.716570313033568,0.928574086477609,-267672400,1349.38178,1347.69256,3.52804793399696,1.12994574765255,1.18012059089043
"Day36",17001600,52.5620251311686,0.890109685655569,0.834822593462399,-0.33333912167674,-284674000,1358.44214,1348.61395333333,2.81771172025212,2.05479263667961,-0.11179744346288
"Day37",27249600,48.1333368127848,0.63736325072561,0.838522872486927,-0.81818038305648,-311923600,1362.43486,1349.27940666667,0.284095176620083,0.398179787641895,-1.29469459637477
"Day38",21439500,48.5393595007205,0.659340454886336,0.728937797089172,0.285703654089439,-290484100,1363.50982,1349.7401,-0.113061392107696,0.283765307146687,0.113246094231645
"Day39",31014800,51.7908592876655,0.835165244073483,0.710622983228476,0.578948089960029,-259469300,1365.65974,1350.81506,-0.391061493161068,1.88571123656405,0.901417807633287
"Day40",18374600,48.8805708550418,0.681319090227331,0.72527492972905,-0.571425913522361,-277843900,1362.43486,1351.78764,-1.06263684307403,0.625710036541309,-0.788292452917716
"Day41",19919600,45.3519304832779,0.483517096879454,0.666667143726757,-0.92000291732004,-297763500,1356.75294,1351.42932,-0.793201208396624,-0.849375114815065,-1.02273523295553
"Day42",29013500,47.3966605832543,0.582417377963258,0.582417855023348,0.37499847377953,-268750000,1355.9851,1351.12218666667,-0.396151723722135,0.801832871671747,0.512671395048603
