"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",273045000,74.8449006953697,0.799998527885529,0.798716695824973,0.151511366475146,682569100,188.80518,184.807053333333,1.96687315385625,5.34758592110601,1.84430564641351
"Day18",111255900,53.5848710757482,0.304350423393419,0.611705552557292,-0.761887236861478,571313200,188.22294,185.01408,-2.16045701587969,1.06273061922442,-3.51272266022509
"Day19",205128300,46.1163140402892,0.0434818321659526,0.3826102611483,-1,366184900,186.7091,184.910573333333,-4.20941598545477,-0.744631636183448,-1.91087623993722
"Day20",52036100,43.5728476594193,0.0875008855713077,0.14511104704356,1.04599254491402e-14,314148800,184.8459,184.729433333333,-4.23988768086018,-2.21749117780517,-0.753101927822541
"Day21",66115800,43.2062107345394,0.0864205383949924,0.0724677520440844,-0.263152185703442,248033000,183.2156,184.44478,-6.09134135050452,-2.63157466559569,-0.108058435550618
"Day22",53616200,42.8182092019772,0.0740738384815025,0.082665087482601,0.714264684233781,194416800,180.84778,184.108366666667,-2.83912919573808,-2.0148452504214,-0.108175328129168
"Day23",40855000,40.470090345009,0.035717133551288,0.0654038368092611,-0.142794052701302,153561800,179.56682,183.784893333333,-1.60773621926578,-2.6511092959024,-0.65146482200733
"Day24",38903300,39.6887156486205,0.0674154051002984,0.0590687923776965,0.499967798029257,114658500,178.90692,183.43554,-1.07994509300748,-2.86321552385921,-0.218120241353592
"Day25",40541700,38.8804953499742,0.0957470716239405,0.0662932034251758,0.800082440230844,74116800,178.44112,183.060313333333,-1.18917383360812,-2.97236628645378,-0.218540673952994
"Day26",47739700,36.8591319754257,0.04255120889722,0.0685712285404865,-0.600061830173144,26377100,177.82004,182.633326666667,-1.62339635729776,-2.78075349591776,-0.548592068671994
"Day27",63856300,35.2791593555944,0.0408145024763143,0.0597042609991584,-0.111123833514639,-37479200,177.08252,182.24516,-1.41612420539105,-6.31467836962238,-0.440993940728696
"Day28",37785700,36.0176504697159,0.0510194424874599,0.0447950512869982,0.333447831687391,306500,176.61672,181.468826666667,-1.09167898517955,-6.79009106286301,0.110445157515482
"Day29",54821400,37.5519936014274,0.0714240649414829,0.0544193366350858,-8.58737655674704e-05,55127900,176.30618,180.640733333333,-0.656508060347334,-6.77620014166456,0.220468298790788
"Day30",58352400,39.8814709215291,0.102038884974921,0.0748274641346215,0.0909176073820742,113480300,176.18972,179.82558,0.220039836166122,-5.7910959907715,0.329878587482124
"Day31",73120400,39.8814709215291,0.114940214269216,0.0961343880618736,0.749983899014628,113480300,176.26736,179.101,0.662980091240182,-7.51267176850288,0
"Day32",56243300,38.2276558611816,0.134607572109429,0.117195557117856,-0.600164880461682,57237000,176.3838,178.1047,0.220711508845526,-4.52159619275066,-0.329878587482124
"Day33",55732600,34.6206373618168,0,0.0831825954595486,-1,1504400,176.18972,177.457753333333,-0.770874177559244,-3.42979677016932,-0.773860771033164
"Day34",49114800,35.5557876087267,0.102559021309767,0.0790555311397323,0.333276084156321,50619200,175.95682,177.05664,-0.98794869996628,-2.59183483834208,0.110878062649089
"Day35",38946300,36.5339049906949,0.185180237772649,0.0959130863608056,-0.000128816179279787,89565500,175.64628,176.75904,-0.878170338011019,-2.37840336883382,0.110812318070597
"Day36",38822900,34.2921385652544,0.0416702447402302,0.109803167940882,-0.714264684233781,50742600,175.18048,176.422626666667,-0.991156368010852,-2.70562342089254,-0.443930632396672
"Day37",22511200,35.3601483925218,0.100007728572536,0.108952737028472,-0.199917559769153,73253800,174.86996,176.112093333333,-0.110996740435748,-1.9607744090736,0.111181864237597
"Day38",59021400,43.2991552209738,0.526304371406875,0.222660781573214,0.666638042078136,132275200,175.14166,175.9827,0.665185303660362,-0.873376937493962,0.884919158472552
"Day39",196318600,52.6868854247766,0.766680978960928,0.464331026313447,0.533361957921857,328593800,175.84038,176.03446,1.88265192878389,0.656451688368941,1.31297898065021
"Day40",31710800,49.043191548078,0.599999999999998,0.630995116789267,-0.33344783168744,296883000,176.30618,176.047393333333,1.77972716925204,0.660062826417933,-0.545004545752725
"Day41",23077000,51.222865689979,0.700008587376555,0.688896522112494,0.428529368467521,319960000,177.0437,176.163846666667,1.99998969520122,1.43646635311988,0.327359033503516
"Day42",24707900,51.222865689979,0.700008587376555,0.66667239158437,-0.333361957921864,319960000,177.7424,176.332053333333,1.10135420774733,1.32449653208251,0
"Day43",27038300,54.2486987674033,0.833336195792183,0.744451123515098,0.555530112205163,346998300,178.28584,176.539073333333,0.217352831803284,1.54186184413985,0.434762474502559
"Day44",23741600,54.2486987674033,0.833336195792183,0.788893659653641,-0.142941263064935,346998300,178.36346,176.72022,0.765033045756136,1.20744886624572,0
"Day45",27882000,58.0237503247173,0.937494968361052,0.868055786648473,0.499967798029229,374880300,178.82926,176.92724,0.980359141356487,1.75628411839096,0.540822325061185
"Day46",16776100,53.288553339291,0.781248490508313,0.850693218220516,-0.333447831687456,358104200,178.98452,177.069566666667,0.435708937673917,1.54186184413985,-0.540822325061185
"Day47",19569700,55.6285567757361,0.875006037966732,0.864583165612032,-0.333276084156321,377673900,179.25624,177.289533333333,0.325405975108652,2.66369302910733,0.324877675633939
"Day48",24804000,48.6326141570056,0.625002012655577,0.760418847043541,-1,352869900,179.06216,177.496553333333,-0.542287408973775,1.66299182013434,-0.868640800275511
"Day49",42566200,47.8229453064416,0.593749496836106,0.697919182486138,-0.749983899014596,310303700,178.82926,177.6777,-1.18660864703047,1.43964815320947,-0.109119591214579
"Day50",42115200,46.1678527574906,0.531260566441785,0.583337358644489,-0.111060224410345,268188500,178.32466,177.820033333333,-0.867637501208458,1.66854078763516,-0.218540673952994
"Day51",39744900,44.5085487235197,0.468755534802837,0.531255199360243,0.499967798029229,228443600,177.9365,177.98824,-1.40540751303418,1.33332646346747,-0.219075816038039
"Day52",45953000,44.5085487235197,0.468755534802837,0.489590545349153,8.58737655674704e-05,228443600,177.43188,178.143506666667,-0.54524419961647,0.4405643809032,0
"Day53",97265000,43.5998689773478,0.217388382356237,0.384966483987304,0,131178600,177.19898,178.182326666667,-0.545839492589774,-0.978283758294246,-0.109718149574256
"Day54",102536400,47.0897691847829,0.347834852931295,0.344659590030123,6.44039415233596e-05,233715000,177.12136,178.104693333333,0,-0.109242169053939,0.328793965612295
"Day55",64756100,43.2472600106481,0.173906225497887,0.246376486928473,-0.428529368467521,168958900,176.96608,178.04,-0.219315962439449,-0.871474001708479,-0.438632628146696
"Day56",144318400,48.8637754405586,0.391294607854117,0.3043452287611,0.399969086506256,313277300,177.08252,178.00118,0.328917448048049,-0.326823798025926,0.547934509949766
"Day57",95450200,45.927104504519,0.260870539214588,0.275357124188864,-0.428529368467563,217827100,177.08252,177.923546666667,0.109778361955261,-1.08457481794757,-0.328377697841109
"Day58",107446200,38.4588339388811,0,0.217388382356235,-1,110380900,176.77198,177.677706666667,-1.20354173865838,-2.06073686039954,-0.991767127369858
"Day59",157680600,49.3086878393361,0.423090642463634,0.227987060559407,0.833404894804646,268061500,176.77198,177.5742,0.439596029141069,-1.40232030374158,1.2108429434079
"Day60",120469000,48.47200380406,0.384626055249495,0.26923889923771,-0.333295168307751,147592500,176.88844,177.39306,-0.2185406485043,-0.976106159578004,-0.109477915264478
"Day61",90558400,45.170317171274,0.239999175614678,0.349238624442602,-0.200123660346277,57034100,176.65554,177.224853333333,-0.328973943659189,-1.72975803217326,-0.439114153407516
"Day62",56167400,44.3568679590143,0.249993559522886,0.291539596795686,-0.500193224268993,866700,176.50026,177.004886666667,0.553697660764315,-0.981484509367315,-0.110080484422426
"Day63",77910700,43.5134140791153,0.250016100985381,0.246669612040982,-0.199917559769153,-77044000,176.65554,176.8755,-0.765869698426825,-0.982499836878142,-0.110144988042027
"Day64",80756900,40.9937214985084,0.117654190028788,0.205887950179018,-0.333276084156305,-157800900,176.26736,176.720233333333,-0.985784344155445,-1.09412372860049,-0.331335741991801
"Day65",44034600,40.1589451741156,0.0588270950143942,0.142165795342854,-0.5,-201835500,175.87918,176.5779,-0.660062826417917,-0.98686533536641,-0.11068966027965
"Day66",68994900,41.443094645085,0.117654190028788,0.0980451583573236,0.333333333333333,-132840600,175.6851,176.474386666667,-0.44050763639252,-0.877207354146686,0.11068966027965
"Day67",115946000,35.6727279000218,0.0833387003284628,0.0866066617905484,-0.636346604215444,-248786600,175.25812,176.2803,-1.10256796253007,-1.53678395211152,-0.777355551958259
"Day68",61988900,35.6727279000218,0.153838531964651,0.118277140773967,0.333276084156321,-248786600,174.86994,176.099153333333,-0.774341957524611,-1.85999342702732,0
"Day69",59575000,34.8683032957865,0.115373944750505,0.11751705901454,0.333218825145929,-308361600,174.5594,175.866246666667,-0.77519954855155,-1.53847286241902,-0.111553947551624
"Day70",34339900,36.4125098487088,0.153838531964651,0.141017002893269,0.599958779884606,-274021700,174.3265,175.69804,-0.774341957524611,-1.96720369891731,0.111553947551624
"Day71",56316200,32.2905952790153,0.0689704184063223,0.112727631707159,-0.428529368467563,-330337900,173.8607,175.400446666667,-0.557401305964155,-2.19299013756116,-0.558960584034018
"Day72",54516600,28.7818505844163,0.0588279864825975,0.0938789789511902,-0.333276084156272,-384854500,173.47254,175.076973333333,-1.11480261192829,-1.77184392618658,-0.562102523810371
"Day73",40673000,26.8934142625747,0.0540446449708275,0.0606143499532491,-0.42863452337135,-425527500,172.96792,174.831133333333,-1.33927929637519,-3.28231481382308,-0.338819368404675
"Day74",44713600,30.1822552131738,0.187498993672211,0.100123875041879,0.714264684233745,-380813900,172.57976,174.46884,-1.22629436119422,-2.95729659873928,0.22600708483651
"Day75",44623400,28.7875704177893,0.129026360402889,0.123523333015309,-0.200123660346241,-425437300,172.07514,174.093606666667,-0.896875750910327,-2.75027122375477,-0.22600708483651
"Day76",46471300,32.1633453602953,0.2,0.172175118025033,0.666638042078112,-378966000,171.84224,173.796013333333,-0.112748674433422,-2.4228771169249,0.22600708483651
"Day77",70457500,35.4582518224463,0.285722172128888,0.204916177510592,0.200123660346241,-308508500,171.88106,173.53724,0.452525346723356,-2.09481664105616,0.22549744441962
"Day78",93164400,29.9715791039914,0.107150743412342,0.19762430518041,-0.454494355707501,-401672900,171.76462,173.200826666667,-0.564321549302236,-2.54422572073761,-0.791417303684838
"Day79",103859300,24.2084864068674,0.0789402321292985,0.157271049223509,-0.571470631532458,-505532200,171.18236,172.77384,-1.47059080669462,-3.54374491107686,-1.14159841386501
"Day80",92089300,22.3568027847669,0.0714338289415579,0.0858416014943994,-0.14279405270132,-597621500,170.52248,172.30804,-2.14446841014732,-4.09290963578685,-0.460277969058964
"Day81",124313800,17.9266158960404,0.0833395948948619,0.0779045519885727,-0.38456660457372,-721935300,169.31916,171.674033333333,-3.71622582129414,-4.68225138661042,-1.39374369473284
"Day82",100749100,23.376873171236,0.17021486516115,0.108329429665857,0.66663804207816,-621186200,168.19346,171.182353333333,-2.49718840411888,-4.23634182991219,0.466722925733531
"Day83",64861500,24.7229135759389,0.191493093619821,0.148349184558611,0.333276084156272,-556324700,167.3783,170.703613333333,-1.2629002279834,-4.01783788912561,0.116356142011398
"Day84",75358700,26.1205890150357,0.217397148265549,0.193035035682173,-0.333276084156321,-480966000,166.99014,170.250753333333,-0.692038026731865,-4.01335833138037,0.116220911826925
