"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",32780700,49.4792135958168,0.411339765220285,0.527182379375716,-0.882399316733459,93654300,84.97876,83.9998466666667,0.319819396105736,0.42684104253631,-0.318292723315494
"Day18",36612500,38.5213718403257,0.0275903503096391,0.297607241325641,-0.849032747502852,57041800,84.51318,83.85062,-4.99995928087703,-3.94943927278374,-3.1302563872579
"Day19",24216800,37.5938557104671,0.0392145412073883,0.159381552245771,-0.57143996808934,32825000,83.59992,83.6088733333333,-5.55845650776411,-2.52010659640088,-0.329479081268769
"Day20",24624500,35.0207061938368,0.0465058895339031,0.0377702603503101,-0.360078627591127,8200500,82.48966,83.41786,-4.60802559330635,-3.94673827319925,-0.939545487019444
"Day21",29800200,31.9711187904404,0.0461522600746854,0.0439575636053255,-0.379342216744991,-21599700,81.51372,83.13134,-5.4728883666554,-4.09706568021116,-1.22906874886555
"Day22",30868400,32.5465861239049,0.0564159545464951,0.0496913680516945,-0.618976704605882,9268700,80.60942,82.9104866666667,-2.35742189891864,-3.67762714403416,0.112439650834606
"Day23",21923100,31.2655109998586,0.0349915117941384,0.0458532421384396,-0.30012286384453,-12654400,80.14382,82.6806733333333,-2.53033601840067,-4.16448206126883,-0.50672491977215
"Day24",18108200,29.5933469439886,0.0284350155090452,0.0399474939498929,-0.478294648926883,-30762600,79.6245,82.4150466666667,-2.27652420458084,-5.68058302169573,-0.679483112738222
"Day25",16343100,34.3219036898985,0.159286787380407,0.0742377715611969,0.894662591112168,-14419500,79.3917,82.1434533333333,-0.224880214559068,-4.569909906015,0.848634931840309
"Day26",10090800,33.6726947723896,0.141594844627185,0.109772215838879,-0.29408672798948,-24510300,79.32008,81.8778333333333,-0.56150604525159,-4.88722165305872,-0.225515315963154
"Day27",26787200,32.1964771575433,0.101773147782083,0.134218259929892,-0.0714000797766269,-51297500,79.14996,81.57938,-0.564232500094536,-6.07668759503196,-0.509466807860814
"Day28",28439200,30.1408763240037,0.0442496244168589,0.0958725389420422,-0.3684458029626,-79736700,78.94404,81.2003466666667,-0.624938128079304,-8.90620291851405,-0.740551848342985
"Day29",22726000,33.9812833098583,0.116018758484512,0.0873471768944846,0.857051691129518,-57010700,78.94404,80.72282,-0.84504419021109,-8.57150150965554,0.626899040326645
"Day30",30458300,44.6976703238523,0.325717349126927,0.161995244009433,0.902478888586215,-26552400,79.13208,80.3378133333333,1.41162878400893,-4.87280841342087,2.0248777040309
"Day31",25665700,46.26319402278,0.470152861357916,0.303962989656452,0.307731958762883,-886700,79.40964,80.0811466666667,2.27011690968974,-4.25074329256352,0.333508301648155
"Day32",24563900,48.3619829864683,0.702959129511676,0.49960977999884,-0.222236009430476,23677200,79.8394,79.86626,3.48763847487974,-0.767601062982969,0.44291340990279
"Day33",17487900,45.0461357006251,0.69512394442931,0.622745311766301,-1,6189300,80.26022,79.7826933333333,2.04551742694037,-1.21012330995573,-0.776421711550945
"Day34",17346000,44.5755699401174,0.670716426041952,0.689599833327646,-0.727281957559125,-11156700,80.56464,79.71106,-0.111437934915756,-0.388702089738837,-0.111500073150506
"Day35",10668200,44.5755699401174,0.670716426041952,0.678852265504405,-0.666708028291329,-11156700,80.54672,79.6901666666667,-0.4440196796662,0.843143853023024,0
"Day36",13429000,45.2390126398486,0.69512394442931,0.678852265504405,-0.571405776288508,2272300,80.493,79.7409066666667,-0.773415343908814,0.842196357798619,0.111500073150506
"Day37",14095900,46.6138782871172,0.743884500136202,0.703241623535821,-0.368445802962633,16368200,80.40346,79.7976066666667,0.222627124441103,1.58012832633716,0.222379677446405
"Day38",25117900,53.5275443959808,0.838379963898919,0.759129469488144,0.199977662366684,41486100,80.63624,79.9468333333333,1.560751003251,3.52270160092803,1.21481679906479
"Day39",75104700,62.1628093031538,0.991373168242477,0.857879210759199,0.95345696327464,116590800,81.20928,80.23932,3.56750201397268,4.67612092626408,1.95664420067612
"Day40",23566000,57.9735845593091,0.879301380678207,0.903018170939868,-0.750104704732652,93024800,81.66592,80.44824,2.72823944231284,4.17838083958614,-0.702154339583672
"Day41",17879600,61.0203020311648,0.983057585279976,0.951244044733553,0.714422463305678,110904400,82.23,80.71088,3.27788291502498,5.50510006161148,0.755999523964324
"Day42",13117400,58.7278074963905,0.826772899957789,0.896377288638657,-0.912984364377983,97787000,82.6956,80.9794866666666,1.64661372067761,5.8890617297195,-0.377285344583189
"Day43",21739100,60.332718936682,0.871799767082229,0.893876750773331,0.333416056582694,119526100,83.0269,81.3077866666666,0.05385968350222,5.62507773651574,0.377285344583189
"Day44",19879800,57.2498260132472,0.714278700999042,0.804283789346353,-0.485736166953856,99646300,82.95526,81.5763933333333,0.27095382283397,3.00658553421182,-0.485412119267536
"Day45",25543600,65.135814584579,0.989706390328154,0.858594952803141,0.947448859628507,125189900,83.33132,81.8479866666666,1.50617791283514,4.71699633454441,1.98035979704647
"Day46",15272200,65.3217134137039,0.932687557722459,0.878890883016552,0.481426325804578,140462100,83.59096,82.1046533333333,1.94378275369223,4.30938094685685,0.0528995660251219
"Day47",27318700,67.5607536036916,0.813435572595432,0.911943173548681,-0.162744792478319,167780800,84.02074,82.3732666666667,2.20549625768559,5.79066831667776,0.633679732681891
"Day48",23307300,57.556693615374,0.589548258043008,0.778557129453633,-0.809498484284418,144473500,84.11922,82.59412,1.08112807274493,4.2363775137305,-1.59161342905891
"Day49",24044300,55.2093581759316,0.522726503536737,0.641903444725059,-0.555500403300866,120429200,84.22668,82.7970733333333,-1.3248513803692,3.79050201770801,-0.428671698396332
"Day50",22941200,53.7337834934915,0.480911214554878,0.531061992044874,-0.692439862542956,97488000,83.95806,82.9851,-1.64193743411486,3.39636956102657,-0.268961226451214
"Day51",19710300,54.5189923283772,0.488180666948081,0.497272795013232,1,117198300,83.70736,83.1761066666666,-2.10535225971496,3.3333540160705,0.161415491148187
"Day52",22249900,57.8569356515611,0.522931267674904,0.497341049725954,-0.176532422311286,139448200,83.4656,83.39398,0.160422761158814,2.79915750655285,0.696511654999821
"Day53",39642800,61.8047906697868,0.583337765250226,0.53148323329107,0.416790766939689,179091000,83.64468,83.5969333333333,1.50375128061787,1.72230764699305,0.903591104356938
"Day54",25331000,63.3277085568967,0.666648938999095,0.590972657308075,-0.200134018315847,204422000,83.95804,83.7133266666666,2.15398457676314,2.81837982205186,0.369595912439902
"Day55",23787700,59.6673890712607,0.547625378928896,0.599204027726072,-0.454563915118279,180634300,84.22666,83.83868,1.45168767098282,1.50617791283514,-0.5284471077454
"Day56",59684500,65.2861246381761,0.857123863213317,0.690466060380436,0.39389426656739,240318800,84.7011999999999,83.99984,2.13558400297672,3.2936720921958,1.36836004595891
"Day57",35223400,65.4854358269686,0.784940554821663,0.729896598987958,-0.33333333333334,275542200,85.0683,84.18488,1.26980074859623,2.95852513520755,0.0522975321181285
"Day58",17980600,60.9652759404289,0.627905768681332,0.756656728905437,-0.679949964260199,257561600,85.17574,84.3132133333333,0.263644392110686,2.81088469214897,-0.62891301040402
"Day59",44635100,68.403262236212,0.901957778556413,0.771601367353136,0.615378006872852,302196700,85.56076,84.5818266666666,2.80868019138846,2.80868019138846,1.97821554510051
"Day60",30056800,68.5727147283575,0.699237513016024,0.743033686751256,-0.904802425144922,332253500,86.04424,84.7429866666666,1.46366297569047,2.8071948046724,0.0514547488717376
"Day61",22550300,68.178946488664,0.691730207248666,0.764308499607034,-0.259204103582361,309703200,86.286,84.8981866666666,1.35844670255736,2.10523469481327,-0.0514547488717376
"Day62",15656600,67.3441618227663,0.676682005978973,0.689216575414554,0.294086727989467,294046600,86.50088,85.0115933333333,1.89268446215981,3.63632888696704,-0.103219513042596
"Day63",20702300,68.3858470243257,0.714285714285714,0.694232642504451,0.391279013304838,314748900,86.86798,85.2294666666667,0.154634249125788,4.35014191765177,0.257734326523096
"Day64",25452200,67.4584817673776,0.699237513016024,0.696735077760237,-0.0322813085458862,289296700,86.87692,85.46524,0,4.52340369739086,-0.103060064608762
"Day65",16595400,68.1555433066068,0.69670615376165,0.703409793687796,-0.272819575591442,305892100,86.90378,85.7248933333333,0.206102238224253,4.516108112782,0.154435390067054
"Day66",23983900,63.2896274198994,0.564819027921408,0.653587564899694,-0.478243978243967,281908200,86.85006,85.9457533333333,-0.20631508578211,3.25686399381758,-0.515637860523377
"Day67",24151300,53.4282920308225,0.289983917083633,0.517169699588897,-0.842111450740642,257756900,86.59936,86.05618,-1.69846547196967,1.05812789484197,-1.24879229446151
"Day68",16972100,50.2656500950005,0.199986597569694,0.351596514191578,-0.454563915118279,240784800,86.2233,86.0890066666667,-2.06076773293684,0.21089196349721,-0.472303090429538
"Day69",23808100,51.9672509192581,0.175826603500329,0.221932372717885,-0.692307692307702,264592900,85.90994,86.1158733333333,-1.95463356509491,1.00689651906899,0.26274408260738
"Day70",25247800,57.590899291452,0.337212020467,0.237675073845674,0.687561077760701,289840700,85.73088,86.2263,-0.517085058586432,0.575073007999636,0.939924732406983
"Day71",19486600,59.0257580225606,0.395340380769333,0.302793001578887,0.555555555555566,309327300,85.6861,86.2740533333333,0.994772357818658,0.783674364920342,0.259491343430707
"Day72",23195300,50.2380872445554,0.146069671719706,0.29287402431868,-0.212129416542585,286132000,85.64134,86.2471933333334,0.210448145271487,0.15772370517998,-1.25193314509184
"Day73",20905300,45.9409443587979,0.0816219542771198,0.207677335588719,-0.272819575591413,265226700,85.5518,86.21436,-0.787080442527639,-2.52584625694155,-0.737677201036657
"Day74",17056100,49.8971737058961,0.285718429984627,0.171136685327151,0.833395383469868,282282800,85.52494,86.1039333333334,-1.09144145503854,-1.95765454319476,0.632677628399225
"Day75",18159300,52.0985287627375,0.376606422790173,0.247982269017307,-0.0588699080157439,300442100,85.39958,86.0114133333334,-0.984974107663946,-1.54645763217313,0.367075649713744
"Day76",21828400,49.11024699675,0.25972556641815,0.307350139730983,-0.411826544021029,278613700,85.14888,85.8950133333334,-0.210006191137283,-1.90916373234363,-0.472303090429538
"Day77",31185500,50.7991706525064,0.324678715441963,0.320336901550095,-0.652131688841429,309799200,85.15784,85.7995133333334,0.793324544866051,-1.90424949761107,0.26274408260738
"Day78",35535400,43.0992284911792,0.0374993019489574,0.207301194603023,-0.860467532467536,274263800,85.06832,85.6144733333334,-1.15607139964576,-3.09109405856278,-1.32032250069418
"Day79",33463000,41.7362915165255,0.166662530093568,0.176280182494829,-0.117666381972279,240800800,84.8265599999999,85.42048,-1.7800881799151,-3.49791046902703,-0.266240807186069
"Day80",40184800,41.7362915165255,0.17856667996277,0.127576170668432,0.222139488706863,240800800,84.52214,85.2175333333334,-1.31509527743082,-2.99902404093254,0
"Day81",46908000,35.4903509881405,0.0439627875009217,0.12973066585242,-0.70367306419589,193892800,84.0834199999999,84.9728,-2.8331848865554,-3.0365934952694,-1.28753080338715
"Day82",40943100,40.3010211177108,0.175826603500332,0.132785356988008,-0.0303235413564336,234835900,83.70736,84.8355133333334,-0.903824778407956,-1.94632221009329,0.645837556842821
"Day83",32781600,45.4157854894081,0.344844407928522,0.188211266309925,0.875191958676516,267617500,83.6805,84.7668733333333,0.106685844717329,-1.46903712732044,0.748322222358144
"Day84",80019200,54.9213869214932,0.712642497689229,0.411104503039361,0.16980654950057,347636700,83.98492,84.7788066666667,1.81234960094018,-0.727705035653818,1.68949333988859
"Day85",42027300,51.0329401127323,0.583326685281212,0.546937863632987,-0.70002233638598,305609400,84.17294,84.69822,2.42972844211529,-1.65891594949374,-0.682972988982034
"Day86",44934700,54.2530822659749,0.726206621459912,0.674058601476784,0.222387689252912,350544100,84.6832999999999,84.6385333333333,2.41420674266637,0.210006191137299,0.630682898283297
"Day87",25726900,52.1008808337497,0.642866640074458,0.650799982271861,-0.368445802962633,324817200,85.0235399999999,84.62958,1.27791423083099,0.58176345793111,-0.367385438355683
"Day88",33962300,56.1176771994999,0.821433320037231,0.730168860523867,0.304263377682831,358779500,85.3727199999999,84.70718,0.366519700141511,0.735617774553752,0.785525182479407
"Day89",48602600,52.9306534165634,0.70238000265922,0.72222665425697,-0.571439968089363,310176900,85.3458599999999,84.7191133333333,0.527171033264642,-0.157063164419299,-0.523036291336876
"Day90",34096700,51.9770434274902,0.666666666666667,0.730159996454372,0.222139488706863,276080200,85.4085399999999,84.7012066666666,-0.261986864383477,0.157806733165613,-0.15743410333684
"Day91",44034000,47.3806302850966,0.488099986703898,0.619048885343261,-0.461512027491407,232046200,85.2294599999999,84.6653933333333,-0.683508536223009,-0.891969810613146,-0.790909942629359
"Day92",32313500,48.0401639363921,0.511900013296106,0.555555555555557,0.555555555555566,264359700,85.1309599999999,84.62062,-1.35632087475705,0.531535896485888,0.105777405765117
"Day93",39407600,51.6327762987338,0.642866640074458,0.547622213358154,0.647089738536339,303767300,84.9966599999999,84.6832933333333,-0.26214469028155,1.38596342914024,0.58007774905855
"Day94",32143500,52.595315246909,0.678579976067011,0.611115543145858,0.363590212204279,335910800,84.9787599999999,84.7698466666667,0.0525584712993147,1.5458731271931,0.157599451978108
"Day95",26704900,48.1256460643182,0.523813322696451,0.615086646279307,-0.29997766361402,309205900,84.8713199999999,84.8176,0.158809179478018,2.15979881920867,-0.68477139575247
"Day96",30142700,44.960401361772,0.275364195532535,0.492585831431999,0.172392543521798,279063200,84.8086399999999,84.9071333333333,-0.475923852183654,0.965634762851469,-0.529965781189023
"Day97",40758300,47.2039512762827,0.388887165327456,0.396021561185481,0.866577321122768,319821500,84.7817799999999,84.97876,-0.736122251726097,0.532384968093767,0.318292723315494
"Day98",31585800,39.1778583619524,0,0.221417120286664,-1,288235700,84.4057199999999,84.9250333333333,-2.36224719522718,-2.61779737331446,-1.49415113007638
"Day99",30928100,35.8920368097375,0.0674146023140843,0.152100589213847,-0.657157444635898,257307600,83.8774599999999,84.7340266666667,-2.43125244978819,-2.68837209302324,-0.755471149408127
"Day100",28367800,34.340938164878,0.01099683350107,0.0261371452717181,-0.909026297085981,228939800,83.4029199999999,84.5609266666667,-2.2847715525171,-3.66688001610066,-0.37994740513474
"Day101",49743044,48.4044463697817,0.461547902501289,0.179986446105481,0.51851085832471,278682844,83.3850199999999,84.4743733333334,-0.423676174633609,-1.15667965176297,2.20499345938139
"Day102",37143301,51.4111065461836,0.582414884999633,0.351653207000664,0.0475481331773278,315826145,83.4118799999999,84.44154,1.66665465733782,-1.35632087475705,0.583343477827203
"Day103",40879001,52.7591699560856,0.783784599595524,0.609249129032149,0.28568009573197,356705146,83.7342199999999,84.3788666666667,2.70855340934804,-0.576765172004621,0.264131754565167
"Day104",42419144,56.644222508251,0.912494764763367,0.759564749786174,0.481469225678355,399124290,84.3161999999999,84.3908066666667,3.91516910911773,0.367674663062659,0.788001174316211
"Day105",34557480,52.6061203377056,0.749993019684492,0.815424128014461,0.199964260185856,364566810,84.8444599999999,84.3729,0.957416472601118,0.476427538434071,-0.682614120339142
"Day106",49459693,56.4626068789544,0.872081244642998,0.844856343030286,0.0434107021462624,414026503,85.1399199999999,84.4445266666667,1.16340879130225,1.16340879130225,0.787174418802206
"Day107",27786907,52.7636516613217,0.732552401236334,0.784875555187941,-0.481469225678355,386239596,85.2294599999999,84.4743733333334,0.26366542059818,-0.0526137155030718,-0.629243039661009
"Day108",18057905,50.39365879223,0.639541830082339,0.748058491987224,-0.111055962278181,368181691,85.2025999999999,84.4475133333334,-0.941885500947953,-0.629901317023733,-0.421666552557465
"Day109",39673390,45.4468655823883,0.430248564972341,0.600780932097005,-0.419224672142951,328508301,84.8802799999999,84.35798,-1.21172463628254,-0.898452442232218,-0.955390694971481
"Day110",34318443,47.0028939930874,0.48837692527467,0.51938910677645,0.733303551485363,362826744,84.7191199999999,84.3221666666667,-1.72498549181295,-0.106227041013134,0.266263582018311
"Day111",42998487,46.7156421973486,0.476740863873669,0.465122118040227,0.333262418891625,319828257,84.4146999999999,84.3132133333334,-1.1572885442652,-0.476680063557328,-0.0532435811280152
"Day112",14905601,46.7156421973486,0.476740863873669,0.480619551007336,-0.0909829406985795,319828257,84.2177199999999,84.2863533333334,-0.739621929058602,1.02151351169589,0
"Day113",42066330,54.1800421975781,0.744188462637335,0.565890063461557,0.135112291716974,361894587,84.2982999999999,84.4117066666667,1.43995368131121,3.03357013815025,1.21666480801377
"Day114",47193300,60.4116800931736,0.82075272895857,0.680560685156525,0.155522462149416,409087887,84.7549199999999,84.6504666666667,2.44677059075138,4.73080403505468,1.25389541229515
"Day115",122392416,76.1389259380426,0.978269578624063,0.847736923406656,0.932800240267297,531480303,86.1337799999999,85.2324533333334,8.24912742869642,8.19150705764935,5.45595179540488
