"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",20632200,16.0388007482193,0.0155455922595782,0.0418120193517463,-0.793089430894304,-102501400,110.5433,116.045586666667,-4.28571681826965,-11.5358115719406,-1.48153990192856
"Day18",26717400,16.8978043971362,0.0600003536714046,0.0453291071629519,-0.225784369652018,-75784000,109.61024,115.118173333333,-4.20729946661422,-11.7646530919937,0.15703304297725
"Day19",18815500,18.6890377886632,0.0919549575185987,0.0558336344831938,-0.279954731928134,-56968500,108.72808,114.179453333333,-0.852649702623559,-10.4341307725457,0.313236061376188
"Day20",17437100,18.5811133187379,0.0903570819839782,0.0807707977246605,0.13039466940031,-74405600,108.5245,113.331206666667,-1.08364288692831,-10.0000166042899,-0.0782862633766257
"Day21",24500900,19.0843245541913,0.0975616769221926,0.0932912388082565,0.882385575589458,-49904700,108.30396,112.53386,0.471376604903058,-9.48330093361256,0.0782862633766257
"Day22",46033200,30.6189110890551,0.253087363097187,0.147002040667786,-0.0243832307780785,-3871500,108.82988,111.917473333333,2.27449878087456,-8.1689785372949,1.93578165012784
"Day23",19034500,30.6189110890551,0.369369656417609,0.240006232145663,0.684288905435589,-3871500,109.32186,111.2615,1.95463938811288,-6.25446538673745,0
"Day24",15906500,27.2010818509784,0.215681742004831,0.279379587173209,-0.565226305807581,-19778000,109.42364,110.662073333333,0.547757175130092,-5.37556091280882,-1.46780547213226
"Day25",46093500,38.8141884159573,0.604641598925278,0.39656433244924,0.709086232396629,26315500,110.05134,110.418906666667,2.81462172759668,-2.08489694020241,2.30776298428692
"Day26",17517000,38.3748050519476,0.581392479677584,0.467238606869231,-0.199937126689714,8798500,110.62814,110.24926,0.690165191228379,-2.59647465750131,-0.152163059126309
"Day27",17669800,35.7584553015155,0.441856639570112,0.542630239390991,-0.461527998186351,-8871300,110.57724,109.983473333333,-0.230085199328814,-2.18044153076763,-0.918144755071371
