"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",74006700,63.7011193487425,0.583288841430861,0.656972168374376,-0.5,1163648200,7.14578,7.09062666666667,0.660410639949202,2.92768094193698,0.218932092218993
"Day18",125354600,49.4007336485037,0.0869080779944293,0.403947113380241,-0.692459339576146,1038293600,7.1208,7.09270666666667,-2.83201898248308,-0.88838268792711,-2.43646274673033
"Day19",106382000,46.346660892302,0.0768851651059618,0.249027361510417,-0.200000000000014,931911600,7.07086,7.08542666666667,-4.31858749948111,-2.63724813787472,-0.674529091778409
"Day20",49766300,47.511520014611,0.115327747658944,0.0930403302531116,0.499999999999972,981677900,7.01156,7.07398,-2.63146803040309,-2.84440581498045,0.225348952729898
"Day21",102928200,44.3973679730071,0.133461456331412,0.108558123032106,0.00080064051240806,878749700,6.96474,7.05733333333333,-3.50048364711984,-2.43224855425785,-0.67757606851746
"Day22",73573800,45.6755699778383,0.166773435831732,0.138520879940696,0.500800000000027,952323500,6.91792,7.04693333333333,-0.896345667662597,-2.21113504932532,0.226369194381282
"Day23",60826600,43.5141504260152,0.0999359385009596,0.133390276888034,-0.500799999999998,891496900,6.89918,7.03444666666667,-0.678255336379938,-2.65477945345278,-0.454708020276207
"Day24",60063400,43.5141504260152,0.0999359385009596,0.122215104277884,0.33049040511724,891496900,6.8898,7.02196,-0.90182384855131,-3.50956067268922,0
"Day25",89013900,45.027452559996,0.187587587587588,0.129153154863169,1,980510800,6.88044,7.00635333333333,0,-2.8631905736259,0.228338825894925
"Day26",48688700,42.578364913941,0.124924924924924,0.13748281700449,-0.334754797441399,931822100,6.87418,6.99074,-0.679788961038973,-3.09154421643639,-0.45574085680582
"Day27",92805400,40.229456643973,0.0624624624624628,0.124991658324992,1.42336285208355e-14,839016700,6.85856,6.97408666666667,-0.681431005110722,-3.74514922740421,-0.456361316849496
"Day28",79000500,41.9537298655534,0.0936936936936942,0.0936936936936936,0.333333333333359,918017200,6.85232,6.95743333333333,-0.454287336740477,-4.57533672970898,0.228440990263246
"Day29",87610700,46.9121878228952,0.230901922129128,0.129019359428428,1,1005627900,6.85546,6.93870666666667,0,-4.75030787751317,0.68366118339207
"Day30",104161600,49.9737075946323,0.320092260379291,0.214895958734038,1,1109789500,6.8617,6.9179,0.912102505728004,-2.85063995391771,0.452227115787562
