"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",118220100,57.7230653320417,0.770786795730951,0.848539753454125,-0.692166743014201,468035100,10.26338,10.0809733333333,3.87211296420728,1.14747214328265,0.324933075090605
"Day18",290830000,68.462593630183,0.645857896369842,0.763850538965343,-0.743393920879788,758865100,10.42454,10.1167866666667,4.39082508378698,6.46783371532443,3.97222725084569
"Day19",101352800,62.324278842619,0.552094322060192,0.656246338053662,-0.333598093725183,657512300,10.48498,10.15036,2.75999458445351,8.20553552880796,-1.41196845630289
"Day20",100237900,63.8733324595093,0.593732547316165,0.597228255248733,-0.176594253679047,757750200,10.55548,10.2085533333333,3.57717119665239,8.70285656195994,0.629484561450511
"Day21",246359500,72.4268338201262,0.881750048043047,0.675858972473134,0.658579107947117,1004109700,10.72336,10.2969666666667,7.77994477378492,11.5773271097162,4.30239805595782
"Day22",432488600,79.2334044737464,0.802723293888799,0.75940196308267,0.10768948767299,1436598300,11.00538,10.4144733333333,9.18985626931178,16.639243517564,5.27188400903253
"Day23",191915900,72.7846877861818,0.721105527638191,0.801859623190012,-0.110890433631248,1244682400,11.16318,10.51296,8.84716732542821,16.3860853114906,-1.72630885630389
"Day24",122285800,70.2177440133268,0.687064354028206,0.736964391851732,0.333002481389585,1122396600,11.3344,10.61592,7.37858993182521,15.735308940631,-0.728910473850508
"Day25",147110000,71.7201808536261,0.731029949467976,0.713066610378124,0.332803812549644,1269506600,11.5157,10.7278266666667,3.9092733266447,16.5261941835351,1.01813137675379
"Day26",305422900,76.3161465897871,0.903455075798036,0.773849793098072,-0.181695098835639,1574929500,11.68692,10.86548,2.13979179944763,20.5389467772507,3.5543076379231
"Day27",229277700,76.9608137167334,0.92699365162188,0.853826225629297,0.499702203692667,1804207200,11.7507,11.0064866666667,4.49849128055264,21.2118780901186,0.556716239761545
"Day28",235559000,77.4571596810973,0.826081326081326,0.885510017833747,-0.411702873160478,2039766200,11.86484,11.1508533333333,5.70191863857655,17.5613630639881,0.416130591574504
