"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",15911600,63.4521132270089,0.57931033404033,0.510344259457385,0.294121832558061,98713900,791.96794,775.33082,-2.18698488238097,3.53009334455269,0.954805293451422
"Day18",10933300,58.5465570689067,0.462067746557301,0.501148609051644,-0.862073280412935,87780600,786.94152,776.62416,-2.36915111406072,1.43102138846517,-0.954805293451422
"Day19",17106800,48.558389267425,0.172413361613203,0.404597147403611,-0.866663138636469,70673800,779.446,776.12446,-2.59009030580613,-1.53670379965201,-2.39873844860732
"Day20",8238800,50.0867849160099,0.220689353129242,0.285056820433249,0.523819809700739,78912600,776.00688,775.53658,-1.97516235166668,0.173018368748607,0.40380904478523
"Day21",8864500,51.6343293632322,0.268965344645282,0.220689353129243,0.120005806147272,87777100,773.53778,775.830526666667,-2.51537348055904,0.925924832165795,0.402184983248155
"Day22",9843000,49.7364136396357,0.21379300636297,0.234482568045831,0.333338373376463,77934100,768.8641,776.06568,-2.03159409894666,0.46296241608289,-0.459770385497205
"Day23",11156000,51.4190822503688,0.201493168862469,0.228083839956907,0.515154430866931,89090100,766.30682,776.506593333334,0.751449140937846,0.461094550854059,0.402416184277854
"Day24",4085100,50.1281916612106,0.164179180263495,0.193155118496311,0.46667473085762,85005000,767.01228,776.594773333334,0.0575688250384228,-0.401147293737458,-0.287278521481404
"Day25",8144200,46.8359058989196,0.0671638254370153,0.144278724854326,-0.642865821554423,76860800,765.95408,776.006886666667,-1.08945639410924,-1.14613698171494,-0.750801705951165
"Day26",9866300,49.5791923644823,0.184397961678527,0.138580322459679,0.405411369515377,86727100,765.16044,775.712946666667,-0.057601985824861,-0.800446809261095,0.578045461012522
"Day27",6608900,49.5791923644823,0.185715350295977,0.14575904580384,-0.555541555365156,86727100,765.07226,775.301433333333,-0.458978227258564,-5.13941757367875,0
"Day28",5844700,49.5791923644823,0.224139178311458,0.198084163428654,-0.0588219598425797,86727100,764.3668,772.53838,-0.172607107231717,-4.40770847268959,0
"Day29",8477800,49.2616551844399,0.255101308739976,0.22165194578247,-1.13400542026123e-05,78249300,764.01406,770.157446666667,0.521736912432954,-2.36487172463466,-0.0576648799995638
"Day30",17148700,62.4631441434144,0.775510015158705,0.41825016740338,0.565217105479407,95398000,769.30502,770.421993333333,2.88183767479612,0.733638313073452,2.89875854550212
"Day31",19199700,64.6024015624547,0.956042778349627,0.662218034082769,0.826082240410208,114597700,774.68414,771.127453333333,3.51583778015778,0.391268486779927,0.614350038614031
