"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",3667100,37.8824684421093,0.217409146869726,0.351450762239143,-0.771277871014149,40447500,36.16458,36.3242866666667,-0.397536938965572,-3.31281489417398,-0.265636240339218
"Day18",9555000,28.3080972049138,0.0801524273088262,0.186141730629548,-0.6074649102172,30892500,35.90474,36.1653666666667,-4.96573840587655,-6.58319794588273,-3.28025688094824
"Day19",5548500,26.5224202402954,0.0600060408765969,0.119189205018383,-0.571377202445174,25344000,35.4852,35.9834066666667,-6.08710613927041,-6.11761815054467,-0.828286803107758
"Day20",4057000,27.7494582553644,0.112419108321681,0.084192525502368,0.611279422046127,29401000,35.05374,35.8387933333333,-4.08086004264583,-6.28853334638742,0.207715768548766
"Day21",6238700,32.2195742852047,0.250000000000001,0.140808383066093,0.243235071806503,35639700,34.81298,35.70212,-3.09390568960464,-3.57484058743806,0.758050286617129
"Day22",5864500,27.7629486766851,0.057970573929961,0.140129894083881,-0.874934452018881,29775200,34.46494,35.5741933333333,-1.68434167909254,-4.95173459884788,-1.83616728822678
"Day23",4094400,25.8047956673471,0.0204741996449231,0.109481591191628,-0.707327056897255,25680800,34.28378,35.4343466666667,-1.8024620270282,-6.74787834266319,-0.948503016969093
"Day24",5623000,22.0248409044085,0.0594557823129252,0.0459668519626031,-0.511140113731704,20057800,34.0144,35.22298,-4.11633940646239,-8.51486245136994,-2.17683980586001
"Day25",4475600,21.5237749657564,0.0939077106535201,0.0579458975371228,0.761885737115448,15582200,33.70926,35.01082,-5.14948156682028,-8.84201027503432,-0.325292268983679
"Day26",4167900,20.7885133189353,0.0609228934647895,0.0714287954770783,-0.789357474056087,11414300,33.3207,34.78754,-3.84618769489824,-9.33076627303231,-0.471471426215686
"Day27",5397500,20.7885133189353,0.0609228934647895,0.0719178325276997,0.28558585555889,11414300,33.05848,34.5626666666667,-2.92982689944175,-8.8800856233407,0
"Day28",5324600,24.2525078070937,0.0989970400971005,0.0736142756755598,0.470515667406844,16738900,32.89638,34.3616333333333,-0.252425891511361,-9.66999232540293,0.544018672374635
"Day29",6133500,27.002004300583,0.145305478535233,0.101741804032374,0.960060412820953,22872400,32.9083,34.1359666666667,0.506800355883789,-9.60286876179498,0.43297319929354
"Day30",7341800,32.5005759469756,0.244388691054278,0.162897069895537,0.369957476152157,30214200,33.00128,33.9214266666667,1.89094858621236,-7.03377705031205,0.89630051430043
"Day31",8196200,35.8316109852378,0.342024826897884,0.243906332162465,0.600095900263709,38410400,33.16338,33.7656866666667,2.4727554519605,-6.25423894385754,0.569385293080193
"Day32",5013800,39.0697591182923,0.471624839714232,0.352679452555465,0.1877294179339,43424200,33.36362,33.6290133333333,2.49544847675689,-2.57813874476167,0.566161643288332
"Day33",3334800,34.3961191113112,0.296940831654149,0.370196832755422,-0.86687176618654,40089400,33.43274,33.5376333333333,0.612103084685328,-3.15445395404565,-1.42161010727926
"Day34",5193100,42.0480860211509,0.475984612566405,0.414850094644929,0.428685577307235,45282500,33.571,33.4979,1.17765068718748,-1.93715211069771,1.45683351729908
"Day35",2632700,38.4010240349249,0.402067205812393,0.391664216677649,-0.84638554216868,42649800,33.57576,33.4287666666667,-0.496908094332146,-3.74193548387096,-1.09953184106035
"Day36",2685700,38.9534969241601,0.570457902511079,0.482836573629959,-0.532997762863528,45335500,33.54954,33.34454,-0.952679819055953,-1.8531284927673,0.107061588577162
"Day37",3147100,36.27027016385,0.467726657645467,0.480083921989647,-0.707386944956005,42188400,33.43034,33.2841466666667,-0.35794075960314,-1.72982097641153,-0.822946165136162
"Day38",6257500,41.5487436119587,0.693572395128551,0.577252318428366,-0.117581739666875,48445900,33.47326,33.26746,-0.811179539690397,1.44312548048693,1.00092891554628
"Day39",17442400,50.2610633825567,0.879725998300764,0.680341683691594,0.604090194022023,65888300,33.54954,33.3429466666667,2.246804385293,3.76410857491628,1.93689121009935
"Day40",7441300,53.1336549364477,0.888878530810103,0.820725641413139,0.473614484433637,73329600,33.74978,33.4422733333333,2.88552931260198,5.01812235334317,0.72980787143595
"Day41",3971000,54.999909739301,0.940544217687076,0.903049582265981,0.405442176870758,77300600,33.97624,33.5630533333333,4.23869280100294,5.52731776966917,0.48369264970396
"Day42",3841400,49.402052927544,0.706179993945422,0.845200914147534,-0.499944806270006,73459200,34.16934,33.6544333333333,1.88476020551256,3.61664036897683,-1.28317306302468
"Day43",8232200,50.7152009324615,0.717613384000394,0.788112531877631,-0.550241241871204,81691400,34.31712,33.74104,0.244061606534054,3.49285476902624,0.313436801787637
"Day44",10959200,52.7703428137891,0.763866231647632,0.729219869864483,-0.384962891255276,92650600,34.36718,33.82924,0,3.06913794652214,0.486043611533082
"Day45",4037000,53.9523311471548,0.819447681193196,0.766975765613741,0.230719586963539,96687600,34.38626,33.9039333333333,-0.206713714515351,2.76797756321512,0.276764987499423
"Day46",9945800,56.0245747128661,0.916627825681657,0.833313912840829,0.853488847963979,106633400,34.40532,33.9770333333333,1.57052117406926,2.68159533903323,0.482070712310101
"Day47",5941700,54.5150808590817,0.861104637613611,0.865726714829488,0.176702862783837,100691700,34.49352,34.0310666666667,0.974453439049962,3.86558003219065,-0.275143050105564
"Day48",3401200,42.7294650720347,0.333313912840829,0.703682125378699,-0.957515173152443,97290500,34.3791,34.0564933333333,-2.14688280750682,-0.317546751582561,-2.65395623033187
"Day49",11085500,45.7230082651507,0.458343043579583,0.550920531344674,-0.0713001797483784,108376000,34.27422,34.0636466666667,-1.7956161240418,1.4266564534661,0.635095637853
"Day50",5786300,45.1579903215325,0.430552318806803,0.407403091742405,-0.333488697273357,102589700,34.14072,34.0922533333334,-2.40541802895843,1.17555280572442,-0.140817027586859
"Day51",7851700,41.3118542639739,0.214298555761969,0.367731306049452,0.0527710311326951,94738000,33.90712,34.0962266666667,-3.10128393791073,1.00595496407733,-0.99071411117353
"Day52",14881200,39.748425568962,0.0826972812716856,0.242516051946819,-0.2144997004194,79856800,33.66396,34.10894,-0.920048689249767,-0.426957710002915,-0.427871777148159
"Day53",15131600,39.953643990398,0.0902668264681787,0.129087554500611,-0.0998322147650772,94988400,33.60438,34.1002,-1.5119064476541,-2.30190479256227,0.0359506401588217
