"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",50394400,82.8135561643575,0.863155252478768,0.741052280746901,0.696976996266406,219015100,25.74488,25.01688,1.26955171744614,8.1336123831824,1.2615604738683
"Day18",59638100,76.5707867146025,0.763461538461539,0.788870408924514,0.428636312024527,159377000,25.76502,25.1326266666667,0.883412898998414,7.08350755753539,-0.871481983014588
"Day19",63050700,62.0216295505625,0.472550989212561,0.699722593384289,-0.769183735860588,96326300,25.67948,25.20308,-0.988096500426106,3.94223118246323,-2.56175270606285
"Day20",31925200,62.6098952636642,0.483142053320234,0.573051526998111,0.399841017488091,128251500,25.63922,25.27018,-1.95303706578692,4.14960853916465,0.199313366281695
"Day21",27059400,64.672994374032,0.561782699950877,0.505825247494558,0.166611460748581,155310900,25.5738,25.34902,-2.50727231614167,4.98427582108278,0.694681460399194
"Day22",51875700,64.1298408258257,0.480540931144834,0.508488561471982,-0.723996162806632,103435200,25.43794,25.42786,-1.75096749749668,3.69608683233363,-0.0987203796151359
"Day23",76345500,69.6355864643407,0.705902980713033,0.582742203936248,0.714407381121362,179780700,25.448,25.5217933333333,2.7943597167959,4.56872864019497,1.96075544889571
"Day24",29360100,63.831571629255,0.456142797378329,0.547528903078732,-0.111062044601457,150420600,25.53354,25.5788266666667,1.49395530009737,1.79819981497878,-1.07381082700604
"Day25",19659800,62.8071170270091,0.377352830896137,0.5131328696625,-0.714366837024418,130760800,25.59896,25.6056666666667,0.593602459322506,1.90396164200264,-0.196376661108477
"Day26",63633300,51.6448682436047,0.246774027046558,0.360089885107008,-0.136302050401948,67127500,25.50336,25.5956066666667,-1.78217276333186,-3.68922673252045,-2.48881266236207
"Day27",42253200,52.7293928333917,0.318818040435459,0.314314966126051,0.411737198971236,109380700,25.42786,25.5368933333333,-3.3982867726501,-2.83213661944499,0.301629185065222
"Day28",15570200,52.7293928333917,0.318818040435459,0.294803369305825,-0.000331235508445734,109380700,25.25172,25.4882466666667,-2.35537770289244,-2.35537770289244,0
"Day29",43860100,52.2767277771477,0.333351733274453,0.323662604715123,0.777745069178692,65520600,25.12592,25.4463133333333,-2.26152745917174,-1.77865224579882,-0.100308727476417
"Day30",35099400,51.3258186161541,0.305586222124089,0.319251998611334,-0.19952305246423,30421200,25.00012,25.4127666666667,0,-3.12478168057442,-0.201320457588805
"Day31",46348100,43.6303005869515,0.123312282229964,0.254083412542835,-0.399841017488081,-15926900,24.90954,25.3289,-2.11022036883921,-6.07501887544506,-1.83117460551032
