Time,Open,High,Low,Close,Volume
Day1,768.5114,775.566,756.6067,761.4568,29916400
Day2,760.1339999999999,764.1022,756.1658,761.8977,19112000
Day3,761.8977,772.4796,759.6931,770.275,21622900
Day4,769.3932,776.8887,766.3068,774.6841,18379300
Day5,774.6841,781.2978,761.4568,764.5431,21189400
Day6,761.8977,771.5978,761.4568,761.8977,20455300
Day7,762.7795,770.275,759.2522,761.8977,17946600
Day8,751.7567,766.7477,751.7567,764.9841,28038500
Day9,764.9841,774.2432,762.7795,769.3932,25763600
Day10,764.9841,771.1568,756.6067,769.3932,18911600
Day11,767.1886,775.566,767.1886,771.1568,11167600
Day12,776.4478,815.6891,773.3614,806.4299,56090500
Day13,806.8708,815.2481,796.7298,800.2571,32504500
Day14,798.9344,804.6662,781.2978,783.0615,26684700
Day15,787.0297,796.7298,772.4796,781.2978,26454600
Day16,778.6524,796.7298,774.2432,788.7934,15911600
Day17,787.0297,793.2025,780.416,781.2978,10933300
Day18,779.5342,787.4706,761.0158,762.7795,17106800
Day19,763.6613,768.0704,758.8113,765.8659,8238800
Day20,766.3068,773.8023,762.7795,768.9523,8864500
Day21,768.9523,769.8341,756.6067,765.425,9843000
Day22,762.3386,772.0387,757.4885,768.5114,11156000
Day23,767.1886,768.0704,761.4568,766.3068,4085100
Day24,764.9841,770.7159,758.3704,760.5749,8144200
Day25,759.6931,769.8341,753.5203,764.9841,9866300
Day26,764.9841,771.1568,763.2204,764.9841,6608900
Day27,763.6613,768.9523,761.4568,764.9841,5844700
Day28,767.1886,768.9523,760.1339999999999,764.5431,8477800
Day29,763.2204,793.6434,763.2204,787.0297,17148700
Day30,781.2978,793.6434,773.3614,791.8797,19199700
Day31,787.0297,793.6434,782.6206,786.1479,11587900
Day32,786.1479,787.0297,777.3296,778.2114,7521500
Day33,778.6524,780.8569,766.3068,766.7477,10799300
Day34,766.3068,770.7159,761.8977,765.8659,8546600
Day35,764.9841,768.9523,761.4568,762.7795,7560700
Day36,762.7795,768.0704,761.4568,762.7795,6690900
Day37,762.3386,764.5431,753.9612,754.8431,6528700
Day38,754.8431,762.7795,753.0794,761.4568,7833800
Day39,759.6931,776.8887,747.3475,774.6841,34193400
Day40,772.0387,776.4478,761.8977,773.8023,8721900
Day41,771.5978,776.4478,768.0704,774.2432,6402700
Day42,769.3932,775.1251,768.5114,773.8023,5846300
Day43,775.1251,777.3296,769.8341,775.566,10480000
Day44,776.0069,778.6524,769.3932,776.0069,9696000
Day45,775.1251,780.8569,767.1886,778.2114,12107700
Day46,774.6841,784.8251,772.4796,783.9433,9918400
Day47,783.5024,793.6434,779.5342,792.7616,20862600
Day48,793.6434,800.2571,779.0933,791.4388,10553600
Day49,788.3524,791.4388,779.9751,786.5888,10143200
Day50,786.1479,786.1479,777.7705,782.6206,6119900
Day51,782.6206,785.707,775.1251,782.1797,10886500
Day52,783.5024,783.5024,772.9205,779.9751,16695300
Day53,780.416,785.707,778.6524,780.8569,11516800
Day54,781.7387,784.8251,778.2114,783.0615,13047700
Day55,781.7387,789.6752,779.5342,787.4706,11863600
Day56,789.2343,789.6752,770.7159,772.0387,11369800
Day57,771.1568,775.1251,768.5114,773.3614,8622300
Day58,772.9205,773.3614,764.1022,766.7477,8560800
Day59,766.3068,772.0387,764.9841,769.8341,17601700
Day60,770.7159,776.0069,769.8341,775.566,9118500
Day61,776.0069,776.4478,772.4796,774.2432,6616400
Day62,772.0387,780.416,764.9841,776.0069,13514100
Day63,772.4796,782.1797,772.4796,780.8569,13360600
Day64,780.8569,781.2978,773.3614,776.4478,7879100
Day65,777.3296,778.6524,772.9205,776.4478,6128000
Day66,776.0069,778.2114,774.6841,776.4478,6789800
Day67,776.4478,778.2114,768.5114,768.9523,8640800
Day68,767.6295,771.5978,765.8659,768.5114,6577100
Day69,767.6295,773.8023,764.1022,770.275,8611600
Day70,771.1568,771.5978,766.7477,768.5114,5707400
Day71,766.7477,769.3932,764.5431,765.425,6670300
Day72,765.8659,767.1886,756.1658,757.0476,10577500
Day73,757.0476,771.5978,757.0476,770.275,12315200
Day74,769.8341,772.9205,762.7795,771.1568,13217300
Day75,767.6295,772.9205,764.9841,772.0387,8800500
Day76,768.9523,782.6206,767.6295,779.5342,19452400
Day77,779.5342,787.4706,773.3614,779.0933,13754700
Day78,777.3296,780.416,770.7159,776.0069,10797300
Day79,774.6841,779.5342,769.3932,777.3296,9720500
Day80,777.3296,798.0525,774.2432,795.8480000000001,39489200
Day81,792.7616,817.4527,789.6752,813.9254,44693900
Day82,815.6891,847.8757,815.6891,837.7347,62404600
Day83,835.5301,837.2938,815.6891,821.4209,27998700
Day84,828.4755,835.5301,813.0436,821.8618,21064800
Day85,818.7754,820.0982,806.8708,813.4845,12858600
Day86,813.9254,833.3256,809.5163,832.4437,28668200
Day87,831.1210000000001,831.1210000000001,811.7208,829.3574,16912900
Day88,824.9482,834.2074,820.98,831.5619,13326600
Day89,832.4437,840.8211,811.2799,823.1846,30553800
Day90,819.2164,823.6255,812.6027,823.1846,16011800
Day91,820.0982,823.1846,814.3663,821.8618,12280300
