Time,Open,High,Low,Close,Volume
Day1,5.9317,6.0406,5.9161,6.0251,107807200
Day2,6.0251,6.1496,6.0095,6.0873,109305500
Day3,6.0562,6.1029,6.0095,6.0873,81490000
Day4,6.0873,6.1808,6.0406,6.1341,91442000
Day5,6.1341,6.1341,6.0562,6.0873,53668400
Day6,6.0873,6.1496,6.0562,6.0718,67144900
Day7,6.0718,6.3676,6.0718,6.3053,218443400
Day8,6.3209,6.9436,6.3053,6.7568,376992300
Day9,6.6634,6.6945,6.5544,6.6322,141015700
Day10,6.6167,6.6634,6.5544,6.6167,86179000
Day11,6.6634,6.8191,6.57,6.678999999999999,150340100
Day12,6.6478,6.678999999999999,6.5077,6.6011,86939300
Day13,6.5855,6.6167,6.5388,6.5544,51346600
Day14,6.5544,6.6011,6.5077,6.5544,58594100
Day15,6.5544,6.57,6.4766,6.5388,59087200
Day16,6.5233,6.5388,6.461,6.4766,33036000
Day17,6.4921,6.7412,6.4766,6.678999999999999,113570900
Day18,6.678999999999999,6.7879,6.461,6.7412,207665400
Day19,6.678999999999999,6.9903,6.6322,6.8502,158883300
Day20,6.7879,6.9281,6.6167,6.6322,94481300
Day21,6.57,6.5855,6.4454,6.5233,57596600
Day22,6.5233,6.6011,6.5077,6.6011,22664100
Day23,6.5855,6.7101,6.57,6.6322,53729200
Day24,6.6322,6.678999999999999,6.5388,6.6634,40975600
Day25,6.6478,6.6634,6.5544,6.6011,24682300
Day26,6.57,6.6167,6.5233,6.6167,34384500
Day27,6.6011,6.6478,6.5544,6.6167,37555800
Day28,6.6167,6.7568,6.6167,6.6478,51268800
Day29,6.6478,6.6945,6.5544,6.57,28751600
Day30,6.57,6.678999999999999,6.5544,6.678999999999999,44270800
Day31,6.6634,6.9592,6.6478,6.8813,177331800
Day32,6.9125,7.2083,6.8969,6.9748,202321300
Day33,6.9903,7.0837,6.8502,6.9125,72225700
Day34,6.9125,7.2083,6.8658,7.1149,167916900
Day35,7.0837,7.146,6.9592,7.0993,104007700
Day36,7.0993,7.1304,6.9125,6.9436,62345300
Day37,6.9281,6.9748,6.8191,6.8813,58037500
Day38,6.8658,6.9125,6.8035,6.8191,42300800
Day39,6.8035,6.8035,6.678999999999999,6.7412,56362400
Day40,6.7412,6.8035,6.6945,6.7568,49994500
Day41,6.7412,6.7568,6.5544,6.6322,77411500
Day42,6.6322,6.6634,6.6167,6.6634,39056000
Day43,6.6478,6.678999999999999,6.6167,6.6634,34231000
Day44,6.678999999999999,6.678999999999999,6.57,6.5855,57679800
Day45,6.5855,6.6011,6.5544,6.5855,35462500
Day46,6.6011,6.6478,6.57,6.6011,31315600
Day47,6.6011,6.678999999999999,6.5388,6.6634,61884100
Day48,6.6634,6.7257,6.6322,6.6478,53490400
