Time,Open,High,Low,Close,Volume
Day1,390.1677,400.7022,390.1677,398.3612,45045100
Day2,397.9711,411.2368,394.0694,405.3842,65813600
Day3,404.6039,405.3842,396.8006,401.4826,36011700
Day4,405.7744,422.5516,401.8727,416.3089,91765900
Day5,414.7483,440.8895,410.4564,420.9909,130229700
Day6,420.9909,426.0631,414.3581,417.4794,54755100
Day7,432.3058,436.9878,420.6008,424.8926,86344000
Day8,421.7713,431.5255,411.6269,416.6991,53727600
Day9,408.8957,408.8957,398.3612,403.0432,49526500
Day10,402.6531,407.7252,401.0924,403.4334,19627500
Day11,401.4826,404.2137,399.1416,403.4334,21324100
Day12,404.2137,404.9941,399.1416,399.9219,21519200
Day13,399.5317,406.1646,398.3612,401.0924,31575700
Day14,399.5317,400.3121,389.3874,394.8497,45088700
Day15,393.289,395.63,390.1677,392.8989,15749900
Day16,392.8989,395.63,389.3874,389.3874,18223900
Day17,389.3874,391.3382,384.3152,387.0464,18708900
Day18,386.6562,391.7284,385.4857,390.1677,14029800
Day19,390.5579,390.5579,386.26599999999996,387.0464,11243600
Day20,385.4857,387.8267,385.4857,387.4365,10753700
Day21,386.6562,390.1677,386.26599999999996,388.9972,15171600
Day22,386.6562,388.9972,386.6562,388.2169,9077400
Day23,388.60699999999997,388.60699999999997,384.3152,386.26599999999996,13567200
Day24,385.0955,385.4857,380.0233,384.7054,13891400
Day25,385.0955,387.4365,383.1447,385.0955,9851900
Day26,386.26599999999996,387.4365,383.5348,385.4857,7279300
Day27,384.3152,385.4857,381.584,381.9742,10383700
Day28,381.9742,385.8759,381.9742,385.4857,12227900
Day29,385.4857,388.60699999999997,385.0955,387.8267,12842900
Day30,388.2169,392.1185,387.0464,391.7284,17610300
Day31,392.8989,392.8989,390.1677,391.7284,12801100
Day32,391.3382,392.1185,389.7775,390.94800000000004,11529200
Day33,391.3382,391.3382,388.60699999999997,390.5579,7963300
Day34,390.5579,392.5087,389.3874,390.94800000000004,7343100
Day35,390.5579,392.1185,388.9972,390.5579,11822300
Day36,389.7775,390.94800000000004,387.8267,388.2169,8934200
Day37,388.60699999999997,389.3874,383.1447,387.0464,26815400
Day38,384.7054,395.2399,378.4627,393.289,48793900
Day39,391.7284,393.289,387.0464,391.3382,13311200
Day40,390.94800000000004,393.289,387.8267,391.3382,16757000
Day41,391.3382,391.3382,386.26599999999996,387.0464,17343000
Day42,386.6562,391.3382,385.4857,388.2169,13688100
Day43,388.2169,392.1185,388.2169,390.1677,15281800
Day44,390.5579,392.8989,389.7775,391.7284,12652700
Day45,391.3382,393.289,390.5579,392.5087,8099100
Day46,392.8989,399.1416,392.8989,394.4595,15382400
Day47,394.4595,397.1907,392.8989,396.0202,12030100
Day48,397.1907,398.3612,391.3382,393.289,16435400
Day49,393.289,394.8497,390.1677,391.3382,12041700
Day50,390.94800000000004,392.5087,389.7775,391.3382,16264400
Day51,391.7284,393.6792,388.9972,391.7284,31291000
Day52,391.3382,392.8989,390.5579,392.1185,27800100
Day53,392.5087,397.9711,392.1185,396.4104,56063900
Day54,396.4104,397.9711,394.4595,397.1907,33958900
Day55,397.5809,399.1416,392.5087,392.8989,34535300
Day56,392.5087,395.63,391.3382,395.2399,18291600
Day57,396.8006,403.0432,394.8497,399.1416,41141300
Day58,400.7022,415.5286,400.7022,414.7483,81462900
Day59,415.5286,419.4303,409.6761,415.5286,46880800
Day60,413.9679,419.4303,409.6761,415.9188,32248300
Day61,415.5286,417.4794,404.9941,408.5056,41873600
Day62,407.3351,411.6269,405.3842,410.4564,22267300
Day63,411.6269,424.5025,410.4564,414.7483,52685500
Day64,428.4041,442.06,421.3811,425.673,98463500
Day65,419.4303,427.2336,416.3089,421.7713,44436000
Day66,422.1615,428.7943,419.8204,423.332,46715300
Day67,421.7713,426.0631,414.7483,423.7221,32932200
Day68,424.8926,435.8173,420.6008,431.5255,45184200
Day69,431.9156,437.7682,429.1845,433.8665,40481300
Day70,434.2567,436.2075,425.673,429.5746,34185700
Day71,429.1845,430.7451,419.4303,420.2106,31811000
Day72,419.4303,431.9156,417.4794,430.355,42283800
Day73,431.1353,444.7912,427.2336,440.4993,71207900
Day74,440.1092,440.4993,434.2567,439.719,29154800
Day75,437.37800000000004,448.6929,436.9878,446.3518,49214300
Day76,448.6929,453.3749,438.9387,443.2305,52096100
Day77,443.2305,446.3518,436.9878,438.1583,29016600
Day78,436.9878,440.1092,430.355,438.5485,33135600
Day79,438.1583,444.7912,435.037,444.0108,39093900
Day80,440.1092,444.401,435.4272,438.9387,29480400
Day81,438.1583,447.9125,435.4272,447.1322,45290500
Day82,448.3027,465.0799,445.5715,463.9094,77871500
Day83,463.5192,467.8111,452.5945,454.1552,59002800
Day84,452.2044,457.2765,449.4732,454.9355,27919000
Day85,456.8864,475.6144,456.8864,468.2012,61885500
Day86,466.2504,472.1029,455.7159,466.2504,45762600
Day87,465.8602,477.5653,459.6176,475.2243,45270400
Day88,469.3717,476.3948,469.3717,471.7127,46070000
Day89,471.7127,474.4439,465.8602,474.0538,30686300
Day90,472.1029,473.6636,466.6406,468.2012,25505800
Day91,467.0307,470.1521,460.0077,463.1291,30788000
Day92,461.1782,464.6897,448.6929,458.44699999999995,44264000
Day93,452.5945,465.4701,452.5945,460.7881,28605900
Day94,458.8372,467.0307,456.4962,459.6176,23473400
Day95,458.8372,459.6176,448.6929,451.0339,27735400
Day96,448.6929,455.7159,447.5224,455.3257,21207500
Day97,452.2044,471.7127,452.2044,465.0799,45257400
Day98,463.1291,467.0307,453.765,465.4701,30572000
Day99,465.4701,486.5391,463.5192,477.1751,59164200
Day100,474.4439,487.3195,474.0538,482.2473,38305743
Day101,476.3948,486.5391,460.3979,485.7588,44381913
Day102,480.6866,487.7096,476.7849,484.5883,35434986
Day103,487.3195,511.5099,486.5391,490.0506,79806486
Day104,488.0998,493.5621,481.0768,489.6605,33060170
Day105,490.83099999999996,493.17199999999997,471.3226,475.6144,46539889
Day106,479.9063,506.8278,477.5653,505.2672,77658745
Day107,501.3655,519.7034,499.4147,511.5099,71593503
Day108,511.9,517.3624,504.0967,511.1197,45377325
Day109,515.0214,515.8017,506.8278,512.6804,37191280
Day110,511.1197,518.1427,499.4147,516.1919,57097114
Day111,507.218,514.6312,496.6835,501.7557,41548472
Day112,504.4868,509.559,498.6343,501.3655,25093930
Day113,497.85400000000004,516.9722,493.5621,516.582,47137500
Day114,515.0214,517.7525,508.3885,513.0705,34606824
Day115,513.0705,517.7525,507.218,513.8509,33889547
Day116,507.218,519.7034,506.8278,518.923,43616532
Day117,517.7525,531.4084,510.7295,512.2902,49980729
Day118,507.218,517.7525,503.3163,513.0705,20985391
Day119,511.1197,520.8739,511.1197,519.7034,25215200
Day120,522.8247,529.8477,518.923,526.3362,39289044
Day121,526.7264,534.5297,522.4346,534.1396,43035904
Day122,532.9691,536.0904,524.7756,534.9199,37734200
Day123,531.0182,536.8708,527.8969,531.0182,22256380
Day124,531.0182,545.8446,529.8477,544.6741,38192544
Day125,543.1134,554.0381,536.0904,552.8676,58967376
Day126,549.3561,569.6448,549.3561,561.0612,50741800
Day127,560.2808,563.4022,553.2578,557.9398,32409232
Day128,557.9398,559.8906,548.5758,555.2086,25153792
Day129,552.8676,571.9858,550.5266,571.5957,39375800
