Time,Open,High,Low,Close,Volume
Day1,185.9497,189.588,184.8424,187.05700000000002,45161900
Day2,186.7407,198.5256,186.3452,193.7009,96650700
Day3,195.3619,200.3448,193.3845,197.2601,54860000
Day4,197.4974,198.5256,186.4243,190.9326,78757800
Day5,190.9326,209.9943,189.9835,200.8985,140389500
Day6,200.1075,200.4239,196.8647,199.71200000000002,43887900
Day7,201.2148,206.9887,197.4183,203.5086,86167500
Day8,203.03400000000002,203.03400000000002,195.9946,198.3675,43775000
Day9,194.0173,196.31099999999998,189.8253,195.3619,50277100
Day10,194.1755,198.5256,192.4354,193.6218,28507800
Day11,194.4128,194.4128,191.8818,193.5427,25118300
Day12,193.8591,197.4974,193.78,196.1528,39096700
Day13,196.1528,198.2884,194.9664,195.9946,35532400
Day14,196.1528,197.0229,189.8253,192.5145,53282100
Day15,191.4072,194.5709,190.37900000000002,193.3845,23773200
Day16,193.1473,194.1755,189.4298,189.588,18429000
Day17,188.2434,188.2434,178.4358,180.5713,74571900
Day18,180.1759,184.4469,179.1476,182.9441,27529200
Day19,181.9159,184.2096,180.334,181.5995,21228800
Day20,181.5995,182.7069,179.7804,181.5995,23984500
Day21,182.0741,183.4187,181.2041,182.1532,22437600
Day22,182.0741,186.187,181.3623,185.5542,22628600
Day23,185.8706,185.8706,181.7577,183.2605,15810400
Day24,181.995,183.1814,179.0685,182.6278,20965000
Day25,181.995,183.3396,181.125,181.5205,13792800
Day26,181.6786,183.4187,181.5205,182.78599999999997,22231200
Day27,182.1532,182.4696,180.8086,181.125,20622600
Day28,181.2832,185.9497,181.2832,185.4751,27259700
Day29,186.4243,192.1981,186.4243,188.9553,36855600
Day30,189.588,193.78,188.9553,192.11900000000003,33532000
Day31,192.8309,192.8309,189.4298,190.2208,20859400
Day32,190.1417,191.0908,188.0852,189.1135,22979600
Day33,189.2717,191.5654,189.1926,191.0908,25868400
Day34,191.0117,191.4072,189.588,189.9044,17337300
Day35,190.2999,190.37900000000002,188.0062,188.6389,18335800
Day36,188.9553,190.6953,188.7971,189.4298,23842000
Day37,189.1135,191.5654,187.7689,191.0908,24084600
Day38,191.7236,198.2093,190.0626,194.9664,57485700
Day39,194.1755,196.9438,192.5936,195.6783,16844200
Day40,194.65,197.8138,194.5709,197.7347,21394500
Day41,196.8647,199.4748,196.8647,199.2375,20554200
Day42,199.4748,203.7458,199.1584,199.2375,26887300
Day43,200.1075,203.2713,196.31099999999998,197.3392,37632300
Day44,197.1019,198.842,195.7574,197.7347,22801700
Day45,197.0229,200.8985,196.2319,200.6612,18025600
Day46,200.6612,201.6894,199.71200000000002,200.5821,13305900
Day47,200.1075,200.8985,197.7347,198.6047,8837000
Day48,199.71200000000002,203.4295,199.3166,200.8194,24671500
Day49,200.9775,203.5086,200.7403,201.373,14026200
Day50,200.7403,200.9775,197.4974,199.1584,20552900
Day51,199.3957,200.1075,196.9438,198.3675,25608200
Day52,197.1019,199.3166,195.9946,199.0793,31244700
Day53,198.1302,199.3166,196.31099999999998,196.4692,50337800
Day54,196.7065,197.3392,195.5201,196.5483,20997000
Day55,196.5483,198.4465,195.5992,196.7065,24303500
Day56,197.18099999999998,197.18099999999998,194.0173,195.3619,25646100
Day57,195.44099999999997,198.0511,194.9664,196.9438,23701600
Day58,197.0229,202.0058,196.9438,201.2148,51920800
Day59,200.9775,202.7967,200.1075,201.2939,30941100
Day60,200.8985,208.2542,200.5821,206.435,54384300
Day61,205.9605,206.9096,204.2204,205.8023,26288400
Day62,205.2486,205.4859,202.7176,203.90400000000002,21110400
Day63,204.2995,204.3786,200.7403,201.5312,20540600
Day64,203.6667,204.4577,201.6103,203.90400000000002,13781900
Day65,204.0622,206.0396,202.8758,204.0622,19860100
Day66,204.0622,204.8531,202.6385,203.5086,14716000
Day67,203.2713,203.6667,200.6612,203.5086,16228400
Day68,203.2713,203.2713,200.503,200.9775,26654600
Day69,200.9775,202.0058,199.3166,200.1075,27257900
Day70,200.1075,200.4239,198.3675,199.3166,13028400
Day71,197.8138,198.842,195.0455,196.1528,28490100
Day72,196.5483,199.1584,195.9946,198.842,16653000
Day73,198.6838,199.9493,195.9155,196.5483,35152500
Day74,196.5483,198.4465,195.5201,198.2884,23606000
Day75,197.5765,199.8702,196.3901,198.2093,23838400
Day76,198.5256,199.71200000000002,197.2601,197.7347,24174000
Day77,197.7347,197.972,191.7236,192.7518,67193200
Day78,193.7009,194.8873,190.4581,192.0399,35019200
Day79,192.2772,195.2037,190.1417,195.1246,39348300
Day80,193.78,194.9664,192.4354,193.3054,20085600
Day81,193.5427,197.6556,193.5427,197.4974,44446200
Day82,197.4974,200.3448,196.3901,199.63299999999998,37994200
Day83,199.71200000000002,201.2939,197.0229,198.2884,30186400
Day84,197.972,198.5256,194.2546,195.2037,29542800
Day85,195.1246,195.9155,192.3563,194.9664,20836500
Day86,195.44099999999997,196.5483,193.4636,195.5992,22216000
Day87,195.9155,201.2939,195.9155,200.7403,44759000
Day88,200.7403,202.4012,199.1584,200.7403,54144100
Day89,202.5594,205.1695,201.0566,203.8249,70880800
Day90,203.2713,204.2995,201.0566,203.1131,31901700
Day91,203.5876,203.6667,200.503,200.8985,37146800
Day92,200.7403,202.2431,199.0002,201.8476,38318300
Day93,200.8985,203.7458,200.2657,202.6385,33022000
Day94,202.4803,202.8758,200.9775,201.2939,19888300
Day95,201.2939,201.6103,199.9493,201.0566,23326700
Day96,200.7403,202.8758,200.1075,202.3221,21857500
Day97,201.9267,207.3842,201.8476,205.7232,73251200
Day98,205.6441,207.7005,204.0622,206.5141,48990300
Day99,206.5141,216.9545,206.3559,214.7399,97285800
Day100,214.3444,216.0054,212.6043,215.1354,54466260
Day101,215.5308,216.1636,210.7061,215.3726,59388371
Day102,214.2653,216.9545,214.028,215.7681,42332496
Day103,217.1918,222.6493,216.7963,219.3273,47365696
Day104,218.2991,222.0165,214.81900000000002,221.8583,40959825
Day105,222.0956,222.0956,213.2371,215.5308,46909638
Day106,213.4744,216.1636,211.1807,215.3726,23286137
Day107,215.9263,221.8583,214.1862,220.1183,33643739
Day108,219.8019,221.542,217.1918,220.4346,21552414
Day109,218.9319,221.3838,217.9036,221.3047,27457397
Day110,219.88099999999997,224.8639,218.2991,222.0956,38493871
Day111,221.0674,221.0674,214.1862,215.0563,37384783
Day112,215.0563,216.2427,211.9716,215.1354,35617822
Day113,213.5535,218.5364,212.7625,217.9036,33789600
Day114,217.9036,222.7284,216.9545,221.6211,22788682
Day115,222.7284,222.8075,219.09,221.2256,22651865
Day116,220.9883,223.8357,218.6946,223.6775,27200522
Day117,223.9148,229.0559,220.1183,222.8075,32627857
Day118,222.8075,222.8075,220.5928,222.0165,15596597
Day119,220.6719,225.813,220.1974,225.2594,15900700
Day120,224.4684,227.9486,223.2029,227.7113,24245188
Day121,226.4458,231.666,225.8921,231.1914,33066658
Day122,231.1123,233.6433,228.0277,232.53599999999997,29617706
Day123,232.0614,233.6433,230.4005,232.0614,22318908
Day124,232.1405,236.8862,231.4287,234.2761,21100588
Day125,233.9597,238.2308,229.8468,237.8353,41365864
Day126,236.72799999999998,241.5527,234.9879,241.3945,56131040
Day127,240.0499,243.0555,238.468,239.5754,29205472
Day128,239.5754,239.6545,229.9259,231.1914,50684688
Day129,230.5587,239.25900000000001,230.005,238.8635,32398660
Day130,238.8635,239.8917,236.0952,237.8353,38419800
Day131,237.9935,246.5356,236.8862,244.2419,41564800
Day132,244.7956,248.1175,244.0046,244.7165,33842128
Day133,247.5638,251.1231,246.0611,247.1684,37440072
Day134,248.5921,259.1906,247.0893,258.5579,52265656
Day135,257.846,259.7443,249.7785,253.4168,43289376
Day136,253.1004,255.315,245.9029,251.6767,47117488
Day137,250.342,250.9259,241.1658,243.1679,54613128
Day138,243.1679,248.3399,242.0834,245.0031,31758872
Day139,247.75599999999997,252.1772,239.41400000000002,242.3337,50971916
Day140,244.0021,250.6757,241.1658,250.0083,48012384
Day141,250.1751,252.6777,247.5891,251.1762,46327632
Day142,249.8415,253.3451,246.5881,252.6777,37973728
Day143,253.1782,261.1865,253.1782,259.685,50768288
Day144,259.4347,261.6036,257.0155,261.0197,28899832
Day145,260.7694,261.1031,255.2637,256.6819,29811948
Day146,256.515,257.2658,252.2606,256.4316,23826336
Day147,255.2637,259.5181,254.4295,259.0176,20422074
Day148,258.0166,258.4337,251.7601,256.7653,33972208
Day149,256.7653,258.0166,252.8446,256.7653,39536808
Day150,256.9321,264.0228,256.0145,261.7705,33691212
Day151,263.1886,270.6963,263.1886,269.5285,42558560
Day152,270.1958,272.4482,266.9425,267.3596,27652596
Day153,266.9425,266.9425,262.3544,262.6046,24312572
Day154,262.7715,269.2782,261.7705,266.4419,23011780
Day155,266.3585,268.6109,259.2679,264.1062,25427686
Day156,263.0217,265.6912,258.8508,260.2689,25654042
Day157,260.686,265.9414,258.7674,265.5243,20635828
Day158,265.3575,268.1938,260.2689,268.1103,32269664
Day159,267.443,267.5264,261.687,262.9383,29328112
Day160,262.3544,264.4399,260.3523,261.3534,26318208
Day161,261.9373,264.7736,258.9342,264.1896,32039960
Day162,263.272,263.4388,260.5192,261.3534,23138468
Day163,260.9363,266.6922,260.5192,263.9394,25865532
Day164,263.9394,264.9404,261.6036,263.272,16420182
Day165,263.7725,264.4399,249.9249,254.3461,56666328
Day166,252.7611,254.4295,248.4233,254.0124,32212788
Day167,252.1772,255.2637,251.92700000000002,253.2617,15154896
Day168,253.0114,254.7632,250.342,251.4264,20459086
Day169,251.4264,252.4275,249.8415,251.5099,24411790
Day170,251.4264,252.2606,250.0083,250.9259,23226196
Day171,249.6746,251.1762,242.0834,242.584,43596840
Day172,242.0,245.6705,237.1617,244.58599999999998,30975364
Day173,242.5005,248.4233,242.3337,246.5881,17605888
Day174,247.0052,247.172,240.4985,241.8332,20830976
Day175,241.9166,248.3399,240.4151,244.7529,28267464
Day176,244.8363,247.6726,243.0845,247.0052,25060386
Day177,244.0855,248.5902,244.0855,247.9228,27392744
