Time,Open,High,Low,Close,Volume
Day1,154.6414,159.7405,154.45600000000002,156.9592,45036400
Day2,156.9592,158.7207,156.3102,156.5883,21043100
Day3,156.5883,158.5353,155.8467,158.4426,23335200
Day4,158.9988,162.151,158.9988,159.5551,33835300
Day5,159.5551,160.85299999999998,158.628,160.0186,29530100
Day6,160.2041,161.7801,158.5353,159.0915,20135000
Day7,158.9988,160.1113,158.0717,158.9988,18449200
Day8,158.5353,159.2769,155.7539,158.5353,33895900
Day9,157.1446,160.5749,156.7738,160.3895,38201400
Day10,160.2041,161.502,159.4624,159.6478,20948100
Day11,159.1842,159.4624,158.1644,158.2571,15550700
Day12,158.9988,159.4624,157.97899999999998,158.9061,13234600
Day13,158.9061,161.8728,158.7207,160.7603,28835600
Day14,160.7603,162.8927,159.3697,162.151,48359600
Day15,160.9457,161.6874,159.0915,159.1842,15602900
Day16,159.1842,161.502,158.7207,159.2769,17860600
Day17,158.8134,158.8134,154.8268,154.8268,30809600
Day18,154.8268,156.0321,154.1779,154.45600000000002,14531400
Day19,154.3633,154.8268,153.0653,153.158,8483500
Day20,153.158,153.5289,149.4496,150.933,22525800
Day21,150.7476,151.7674,150.6549,151.3038,12638800
Day22,151.3038,151.3965,149.635,150.0986,11499200
Day23,149.9132,150.3767,148.9861,150.0986,11187900
Day24,149.5423,150.933,148.4298,150.6549,14482500
Day25,150.6549,151.3038,149.5423,149.635,10665800
Day26,149.635,150.0986,148.6152,149.1715,14441500
Day27,149.1715,149.7277,148.2444,148.9861,11851300
Day28,148.9861,150.4694,148.7079,150.284,12262200
Day29,150.284,152.4164,149.9132,151.1184,16237100
Day30,151.0257,151.582,150.0059,151.3965,29658700
Day31,151.1184,151.8601,150.5621,151.1184,26437600
Day32,151.1184,151.1184,149.5423,150.0059,17195600
Day33,150.5621,151.0257,149.5423,150.1913,14908700
Day34,150.0059,150.5621,149.635,150.0986,7996800
Day35,150.5621,150.5621,149.7277,149.8205,9193300
Day36,150.0059,150.1913,149.3569,149.4496,8296200
Day37,149.2642,151.0257,149.2642,150.8403,19034100
Day38,150.4694,153.8997,149.2642,153.5289,53304700
Day39,152.6018,153.3435,151.7674,152.0455,12555300
Day40,152.2309,153.4362,151.6747,152.7872,11478700
Day41,152.3236,154.2706,152.3236,153.3435,12180700
Day42,153.7143,154.45600000000002,152.9726,153.8997,14288300
Day43,154.45600000000002,154.7341,153.0653,153.6216,14616500
Day44,153.7143,154.8268,153.7143,154.7341,14985200
Day45,154.7341,155.1977,153.9924,154.7341,11284900
Day46,154.7341,156.1248,153.9924,155.1977,8602900
Day47,155.9394,156.2175,154.0852,154.1779,8174300
Day48,155.2904,155.5685,154.45600000000002,154.45600000000002,13455900
Day49,154.3633,155.1977,154.1779,154.5487,14759300
Day50,154.1779,154.7341,153.3435,154.5487,11238900
Day51,154.6414,155.4758,153.80700000000002,155.0123,11393000
Day52,155.3831,156.1248,154.8268,155.5685,13985300
Day53,156.4956,156.681,155.5685,156.2175,19992900
Day54,156.4029,156.4956,155.1977,155.2904,12987200
Day55,155.9394,156.9592,155.2904,156.1248,25688000
Day56,156.4956,156.7738,155.3831,155.5685,16327800
Day57,155.5685,155.9394,153.80700000000002,154.2706,13863600
Day58,154.0852,157.4227,154.0852,156.7738,29950000
Day59,156.4956,158.3498,155.8467,156.4956,17509100
Day60,156.4956,156.681,155.105,155.2904,17032300
Day61,155.5685,156.0321,154.2706,154.7341,15011100
Day62,154.5487,155.2904,154.45600000000002,154.9195,11595000
Day63,154.7341,155.0123,153.2508,153.80700000000002,13732300
Day64,153.7143,154.5487,153.2508,153.80700000000002,12097900
Day65,153.7143,154.0852,153.158,153.5289,16227000
Day66,154.0852,154.0852,151.9528,152.1382,18996600
Day67,152.2309,152.3236,151.3038,151.582,12429500
Day68,151.7674,153.2508,151.582,152.1382,15703800
Day69,151.8601,152.5091,151.7674,152.3236,9319800
Day70,152.0455,152.4164,151.582,151.9528,10109600
Day71,151.7674,152.0455,150.3767,150.3767,17366000
Day72,150.4694,150.933,149.9132,150.4694,16396400
Day73,150.4694,151.4893,149.8205,151.4893,17950100
Day74,151.4893,151.582,150.5621,150.7476,16989000
Day75,150.5621,150.933,149.9132,150.5621,18900300
Day76,150.8403,151.582,150.6549,151.0257,19036500
Day77,151.1184,151.3038,149.635,150.1913,21560400
Day78,150.5621,150.6549,149.5423,149.635,15017800
Day79,149.7277,149.8205,148.1517,148.3371,31124600
Day80,148.1517,148.1517,145.5558,146.2975,43811400
Day81,146.4829,147.5954,146.3902,147.2246,22225700
Day82,146.9464,148.3371,146.761,147.9662,19902000
Day83,148.059,149.5423,147.41,148.7079,18997400
Day84,149.3569,149.5423,148.059,148.4298,13213000
Day85,148.4298,149.3569,146.4829,147.1318,23446800
Day86,147.2246,147.41,145.7412,146.5756,23645100
Day87,146.2975,148.8006,146.2047,148.4298,24187100
Day88,148.8006,150.1913,147.3173,149.8205,31036300
Day89,149.1715,150.0059,148.6152,149.2642,22335400
Day90,148.8934,149.8205,148.5225,149.2642,20126900
Day91,149.4496,149.4496,147.7808,148.059,16154000
Day92,148.059,148.2444,146.5756,147.3173,18611400
Day93,147.2246,147.9662,146.0193,147.3173,22210500
Day94,147.2246,147.3173,145.8339,146.0193,23426700
Day95,146.112,146.2975,142.9599,143.7943,40156600
Day96,143.9797,144.6287,141.8473,144.2578,36739400
Day97,143.7016,143.887,141.8473,141.8473,22890000
Day98,141.3838,141.5692,140.0858,140.0858,24455400
Day99,140.1785,140.364,138.1389,138.2316,41061406
Day100,138.3243,139.715,137.6754,139.5296,22688358
Day101,139.5296,140.0858,138.2316,139.066,17627803
Day102,139.2514,139.9931,138.9733,139.5296,12975919
Day103,139.6223,140.0858,139.066,139.5296,14939871
Day104,139.5296,141.3838,139.3442,141.0129,22887645
Day105,140.4567,141.1057,139.8077,141.0129,15718509
Day106,141.0129,141.1057,140.2713,140.5494,12607509
Day107,140.5494,140.5494,139.5296,139.8077,14247943
Day108,139.715,139.715,138.1389,138.8806,19477788
Day109,138.6025,138.8806,134.6159,138.3243,40194577
Day110,137.0264,138.1389,134.5232,137.7681,43568576
Day111,136.192,137.5826,135.9139,136.841,19225492
Day112,136.841,137.6754,134.894,135.4503,28359413
Day113,135.0795,137.1191,134.894,136.7483,27312908
Day114,136.7483,141.1984,136.5628,141.0129,45733426
Day115,141.5692,143.0526,140.5494,141.5692,29965820
Day116,141.1984,141.7546,139.8077,141.5692,24875396
Day117,141.2911,141.4765,139.715,141.0129,33434411
Day118,139.9931,140.364,138.6025,139.1587,30657927
Day119,139.4369,139.8077,138.2316,139.2514,28610626
Day120,139.2514,139.6223,138.417,139.4369,30227244
Day121,139.066,144.3505,138.8806,143.0526,75400432
Day122,142.589,143.887,141.0129,143.4234,70439024
Day123,143.4704,157.8785,143.1041,157.8785,222373440
Day124,156.4133,157.6343,153.1165,156.7796,176456624
Day125,155.6806,159.3437,154.5817,156.7796,113009808
Day126,156.0469,158.3669,154.94799999999998,157.7564,96217056
Day127,157.8785,158.8553,155.5585,157.3901,80197704
Day128,156.16899999999998,157.268,152.7502,156.9017,75876472
Day129,156.2911,156.7796,154.5817,156.2911,36104408
