Time,Open,High,Low,Close,Volume
Day1,88.3915,88.5978,87.0507,87.3601,92653300
Day2,87.4117,87.5149,85.09100000000001,85.9162,134207200
Day3,86.9476,88.70100000000001,86.8444,87.7211,172419200
Day4,88.0821,91.1763,87.3601,90.5059,330459700
Day5,89.7324,92.7235,89.5777,91.0216,310864600
Day6,90.9701,91.4342,89.6808,89.9902,145924100
Day7,90.5575,90.6606,89.5261,90.0418,125038300
Day8,89.8871,90.1449,88.9588,90.0418,98494100
Day9,89.7324,89.8871,88.5978,88.7525,92393200
Day10,88.5463,90.8154,88.34,89.6808,144855600
Day11,89.8871,91.0732,89.6292,91.0732,167808300
Day12,91.0732,91.8468,89.9902,90.1449,160055500
Day13,90.1449,91.8468,89.8871,90.7638,145054100
Day14,90.9701,91.2795,89.3198,91.1248,132264600
Day15,91.5889,92.053,90.4544,90.8154,151620100
Day16,90.4028,93.85799999999999,89.7324,92.6203,275858900
Day17,92.2593,94.3221,91.0216,91.5373,256835500
Day18,91.2279,92.4656,90.7638,91.9499,171414800
Day19,91.8983,92.0015,89.3198,89.5261,222370100
Day20,88.1853,88.6494,86.1225,86.896,221077300
Day21,86.896,87.4633,86.3287,86.535,101963500
Day22,86.7413,87.2054,86.2772,87.1023,72425500
Day23,87.2054,87.3086,86.0709,86.1225,74622300
Day24,86.0193,87.1539,85.9162,86.535,89601200
Day25,86.3287,86.6382,84.0596,84.8332,168649200
Day26,84.3175,85.0395,84.0596,84.5753,71006100
Day27,84.5753,84.7816,83.6471,83.7502,62095900
Day28,83.5439,84.4206,82.5125,83.1314,99385900
Day29,83.0282,83.3377,82.6157,83.0282,69577500
Day30,82.5125,83.2345,82.3578,82.9767,56110400
Day31,82.9767,83.0798,81.9968,82.7704,61833500
Day32,82.8219,83.6986,82.8219,83.3892,71190800
Day33,83.3377,83.4408,82.8219,83.3377,46183100
Day34,83.2861,83.2861,82.1515,82.461,51437400
Day35,82.0484,83.1829,81.378,82.9767,56505300
Day36,82.8219,83.3377,82.5641,82.6157,28409600
Day37,82.5125,82.9251,82.2031,82.6157,34762700
Day38,82.461,82.7704,82.0484,82.1,36441500
Day39,82.1,82.9767,82.1,82.8219,45173400
Day40,82.9251,83.6986,82.7188,83.4924,62306900
Day41,83.4408,83.9049,83.1829,83.6471,51671800
Day42,83.7502,83.8534,83.1314,83.2861,47862300
Day43,83.3892,83.3892,82.461,82.5641,51664000
Day44,82.5641,83.1314,82.3578,82.8735,39840700
Day45,82.6672,83.5955,82.6157,83.0798,45401900
Day46,83.2345,83.7502,83.0282,83.0282,39877600
Day47,83.0798,83.9565,82.9767,83.2861,55959500
Day48,83.2345,84.3175,82.6157,83.5955,82520800
Day49,83.4408,84.7301,82.6157,84.3691,172090700
Day50,83.8534,84.1628,83.1314,83.8534,45559800
Day51,83.5955,84.7301,83.4408,83.9049,48046700
Day52,83.6986,84.5238,83.6986,83.9049,39838800
Day53,83.9565,84.7301,83.8018,84.6269,63159700
Day54,84.5753,85.5552,84.5753,84.7816,47498700
Day55,84.8848,84.8848,84.3175,84.4722,40238000
Day56,84.4722,84.5238,84.1628,84.5238,32219200
Day57,84.7301,85.4005,84.7301,84.9879,46823400
Day58,85.3489,85.3489,84.3691,84.4206,27282300
Day59,84.6269,84.7301,83.8534,84.2659,44795800
Day60,84.2143,84.3691,83.7502,84.0596,31790900
Day61,84.0081,85.6067,83.4924,85.1942,80007800
Day62,84.9363,85.9162,84.8332,85.1426,64766700
Day63,85.1426,86.4319,85.1426,85.9677,80278400
Day64,86.0709,86.7929,85.8646,86.0709,74956800
Day65,86.3803,86.6897,85.45200000000001,85.81299999999999,60529900
Day66,85.7615,86.4834,85.2458,85.4005,60140400
Day67,85.4005,86.3287,85.1426,86.2256,66838900
Day68,86.4834,88.0821,85.7099,85.9677,121073100
Day69,85.9677,87.257,85.5036,87.0507,94261900
Day70,87.0507,88.1853,86.7929,87.2054,89535400
Day71,87.0507,87.3086,86.17399999999999,86.6382,61725300
Day72,86.6382,86.6897,85.7099,85.9162,54082400
Day73,85.9677,86.2772,85.5552,86.17399999999999,51481000
Day74,85.8646,86.2256,85.09100000000001,85.2973,60497100
Day75,85.1942,85.6067,85.0395,85.3489,33324700
Day76,85.3489,85.9162,85.1942,85.2973,40324300
Day77,85.6583,86.4834,84.8332,84.8848,63644800
Day78,84.7301,84.8332,84.0081,84.4206,56690900
Day79,84.2659,84.7816,84.1112,84.7301,38429300
Day80,84.6269,84.9363,84.3175,84.8332,42030800
Day81,84.7816,84.7816,84.2143,84.4206,33280600
Day82,84.3175,84.4722,83.6471,84.2143,48945600
Day83,84.1112,84.3691,83.6986,83.7502,24907800
Day84,83.7502,84.3175,83.1314,84.2659,47268600
Day85,84.2659,84.6269,84.1112,84.4206,34460600
Day86,84.3691,84.4206,83.8534,84.0596,37111800
Day87,84.3691,85.6067,84.3175,85.5036,96128300
Day88,85.5552,85.81299999999999,84.0596,84.1112,62631400
Day89,84.3691,84.3691,83.6471,84.0596,47066200
Day90,84.0596,84.2659,83.4408,83.6471,50697200
Day91,83.2861,83.5439,82.6672,82.8735,58682800
Day92,82.8735,83.5439,82.7704,83.2861,45539000
Day93,83.1829,84.4206,82.8219,84.0081,74546600
Day94,83.8534,84.5238,83.6986,83.8534,42286700
Day95,84.0596,84.2143,83.3892,83.4924,30903400
Day96,83.6986,83.8018,83.1314,83.2345,36554100
Day97,83.1829,83.4924,82.461,82.8735,70522600
Day98,82.8735,83.2345,82.5125,83.0798,38650400
Day99,83.1829,84.2143,83.1314,84.0081,57809500
Day100,84.0081,84.1628,83.6471,83.7502,45085700
Day101,83.8018,84.1628,83.3892,83.9565,48625800
Day102,83.9049,84.4722,83.6471,83.7502,46388400
Day103,83.8534,84.0081,82.8219,83.9049,55900200
Day104,84.0596,85.0395,83.7502,84.4206,94787200
Day105,84.0596,84.3175,83.7502,84.0081,37720800
Day106,83.9565,84.1112,82.9767,83.4408,59256000
Day107,83.0798,83.6986,82.6157,83.4408,40787000
Day108,83.1829,83.5955,82.6157,82.6672,34323900
Day109,82.5641,82.8219,81.7905,82.7704,59929600
Day110,82.8219,83.0798,82.2547,83.0282,38438800
Day111,82.9251,83.8534,82.7188,83.8018,46651847
Day112,83.5439,84.2659,82.7188,84.0596,83536193
Day113,83.5439,83.8018,83.0798,83.1314,36791115
Day114,83.1829,84.2659,82.7704,83.5439,53165455
Day115,83.4924,83.8018,83.0282,83.6986,42792544
Day116,83.6986,84.0081,83.2861,83.6986,37879942
Day117,83.8018,83.8534,82.9767,83.0798,32206805
Day118,83.1829,83.4408,82.461,82.7704,35587941
Day119,82.5641,83.3377,82.5641,82.8219,34797443
Day120,82.8219,82.9767,80.1403,81.378,138984946
Day121,80.5529,81.5327,79.8309,80.7591,59688974
Day122,80.7591,81.017,80.3466,80.4497,27001617
Day123,80.5013,80.7076,79.7793,79.8309,31289812
Day124,79.6762,80.5013,78.6448,80.0372,57157400
Day125,79.934,81.1717,79.8309,80.7076,47326279
Day126,80.8107,82.4094,80.8107,81.5327,64551979
Day127,81.6358,81.8937,80.9654,81.6874,35346866
Day128,81.6874,82.7188,81.5843,81.6874,45971425
Day129,81.378,81.7905,80.8623,80.8623,40548958
Day130,80.8107,81.378,80.8107,81.017,25183300
Day131,81.017,81.1201,79.8824,80.1919,34428764
Day132,80.0372,81.6874,79.8309,81.1201,56519352
Day133,80.9138,81.5843,80.6044,81.4296,36432544
Day134,80.7076,84.8332,80.7076,84.6269,165936032
Day135,84.0596,86.0193,84.0081,84.5238,120919576
Day136,85.1942,86.4319,83.9565,84.7816,79927880
Day137,84.6785,85.45200000000001,84.3175,84.4206,58340736
Day138,84.4722,85.3489,84.2143,84.4722,54782136
Day139,84.3691,84.6785,83.3377,83.5955,47757300
Day140,83.6471,84.1628,83.1829,83.8018,33921312
Day141,83.8534,84.9879,83.6986,84.4206,79532248
Day142,84.5753,84.9879,84.1628,84.7816,56454044
Day143,84.9363,86.3803,84.7301,85.45200000000001,116057504
Day144,85.1426,86.2772,84.0596,84.7301,87459400
Day145,84.5753,85.1426,84.1112,84.6785,41921272
Day146,84.8332,84.8332,84.0081,84.3175,41949504
Day147,84.4206,85.2973,84.1628,84.8848,48097040
Day148,84.8332,85.4005,84.0081,84.1112,38715784
Day149,83.8534,86.2256,83.8018,86.17399999999999,109275032
Day150,86.1225,86.4834,85.5036,86.0193,63026964
Day151,87.1023,88.4947,86.0193,86.4834,113568200
Day152,86.17399999999999,88.5978,85.9677,87.1539,167313184
Day153,86.9991,87.4117,86.17399999999999,87.3601,92670432
Day154,87.3601,89.7839,87.1539,89.0104,211319536
Day155,88.9588,89.1135,87.979,88.2368,92402416
Day156,88.0821,89.06200000000001,87.7211,88.1337,87105024
