Time,Open,High,Low,Close,Volume
Day1,156.5817,157.3203,155.4738,156.2124,19029600
Day2,155.8431,158.4282,155.4738,157.3203,30295300
Day3,157.6896,158.7975,156.951,156.951,36579200
Day4,157.6896,158.0589,155.1045,156.5817,32147600
Day5,157.3203,159.9053,157.3203,159.1668,34656400
Day6,158.7975,162.4904,158.4282,161.3825,59828200
Day7,160.6439,166.1834,159.9053,163.9676,71678700
Day8,163.9676,164.3369,161.7518,162.8597,33522500
Day9,162.8597,163.9676,162.1211,162.8597,25476800
Day10,162.4904,164.7062,162.1211,164.3369,32710300
Day11,163.9676,168.3992,162.8597,165.0755,61838300
Day12,164.7062,166.922,163.22899999999998,164.3369,42810700
Day13,165.4448,168.7685,165.0755,168.0299,57459100
Day14,167.6606,169.8764,165.0755,165.4448,50469900
Day15,166.1834,166.922,164.3369,166.5527,42885800
Day16,165.4448,166.5527,163.22899999999998,166.1834,32448900
Day17,166.1834,168.0299,164.7062,167.2913,35809200
Day18,166.922,167.2913,165.4448,166.1834,27249000
Day19,165.0755,165.4448,162.1211,162.8597,39732500
Day20,165.4448,167.6606,164.7062,164.7062,57716800
Day21,165.4448,172.0921,165.4448,165.8141,79536700
Day22,164.7062,164.7062,162.4904,163.9676,36844200
Day23,163.9676,166.5527,163.5983,164.7062,25961200
Day24,164.3369,165.4448,162.4904,165.0755,25527200
Day25,165.0755,169.8764,164.7062,167.2913,54375200
Day26,167.2913,169.1378,165.8141,166.922,38465900
Day27,169.1378,171.3535,163.22899999999998,163.5983,76429300
Day28,163.22899999999998,179.8474,162.8597,175.4158,167885000
Day29,173.9386,183.171,172.8307,178.7395,176434900
Day30,175.7851,180.2167,173.9386,179.1088,91192200
Day31,178.7395,180.2167,175.0465,179.8474,75226500
Day32,179.1088,186.1254,177.2623,180.9552,93920600
Day33,179.8474,180.5859,174.3079,175.7851,64522900
Day34,177.2623,181.6938,175.4158,179.1088,62775600
Day35,178.7395,182.0631,175.7851,180.9552,73999500
Day36,180.5859,184.2789,179.1088,180.2167,50788700
Day37,179.1088,179.4781,173.9386,177.2623,50241000
Day38,177.2623,178.0009,174.3079,176.5237,41795600
Day39,176.5237,177.6316,173.5693,175.0465,34741800
Day40,174.3079,175.0465,170.9842,171.3535,45551000
Day41,171.7228,172.8307,170.9842,172.4614,22305000
Day42,172.4614,176.1544,172.4614,175.4158,43256600
Day43,174.3079,177.2623,174.3079,175.7851,34118800
Day44,176.1544,176.893,172.8307,175.7851,42230100
Day45,175.4158,179.1088,174.6772,175.7851,51048400
Day46,175.4158,175.7851,173.9386,175.0465,27687300
Day47,174.3079,174.6772,171.3535,172.8307,43709900
Day48,172.8307,173.9386,169.8764,169.8764,26559600
Day49,170.2456,171.3535,167.2913,168.0299,25626800
Day50,168.0299,168.7685,165.8141,166.5527,27105300
Day51,165.0755,165.8141,157.3203,160.6439,54203900
Day52,160.2746,161.7518,158.4282,161.7518,29164600
Day53,161.7518,162.8597,159.9053,162.4904,28642200
Day54,161.3825,162.4904,159.9053,161.0132,21942600
Day55,161.3825,162.4904,160.2746,162.1211,27684100
Day56,161.3825,163.5983,161.3825,162.4904,32985800
Day57,162.4904,163.5983,161.3825,162.4904,32887200
Day58,162.4904,162.4904,161.0132,161.7518,29975200
Day59,162.1211,162.1211,161.0132,161.7518,15142200
Day60,161.7518,163.9676,161.0132,162.8597,20862500
Day61,162.8597,163.9676,162.4904,163.5983,17861400
Day62,163.22899999999998,163.5983,161.7518,162.4904,20121300
Day63,162.4904,163.5983,161.3825,163.22899999999998,18223300
Day64,162.4904,167.2913,162.4904,166.5527,43203800
Day65,168.0299,180.2167,167.2913,177.2623,130260300
Day66,176.5237,176.893,172.8307,176.1544,86771100
Day67,175.4158,176.893,173.2,175.7851,41373900
Day68,175.0465,175.4158,171.7228,172.8307,41281800
