Time,Open,High,Low,Close,Volume
Day1,122.4866,123.5893,120.2812,120.7901,45146600
Day2,120.7053,124.0134,120.5356,122.0625,52046100
Day3,121.6384,122.8259,119.3481,122.5714,37078300
Day4,123.759,124.0983,120.7053,121.1294,54560600
Day5,121.0446,121.8928,119.4329,120.4508,50202500
Day6,119.6874,121.2142,118.92399999999999,119.85700000000001,36664000
Day7,119.7722,121.0446,119.5177,120.4508,29125500
Day8,120.4508,120.8749,117.2275,117.9909,41338700
Day9,116.5489,116.5489,113.9193,115.1917,45949100
Day10,115.022,115.7855,113.6649,113.9193,30036500
Day11,113.4952,114.4283,111.9684,114.3435,35185600
Day12,114.089,114.3435,112.4773,112.8166,29715800
Day13,112.647,114.4283,112.3925,112.9014,38811600
Day14,112.9863,113.4952,108.6602,109.4236,51724200
Day15,108.8299,110.6112,108.8299,109.5933,20928500
Day16,109.5933,110.1871,107.7271,107.9816,20632200
Day17,107.1334,109.7629,107.1334,108.1513,26717400
Day18,107.9816,109.8478,107.7271,108.4906,18815500
Day19,108.4906,109.25399999999999,107.303,108.4057,17437100
Day20,107.9816,108.5754,107.1334,108.4906,24500900
Day21,108.9147,112.3925,108.9147,110.6112,46033200
Day22,110.1871,110.8656,109.25399999999999,110.6112,19034500
Day23,110.5263,110.5263,108.5754,108.9995,15906500
Day24,108.5754,112.2228,107.5575,111.5442,46093500
Day25,111.1201,112.13799999999999,110.8656,111.3746,17517000
Day26,111.3746,111.9684,109.7629,110.3567,17669800
Day27,110.2719,111.2049,109.7629,110.4415,15093100
Day28,110.4415,111.2898,109.6781,110.5263,19572700
Day29,110.696,114.5979,110.4415,112.9863,47277200
Day30,112.647,113.8345,112.2228,113.58,19978000
Day31,113.4104,113.8345,112.8166,113.4104,20814300
Day32,113.3256,113.4952,111.6291,111.7987,16314600
Day33,111.4594,112.3077,111.0353,111.9684,17370500
Day34,112.13799999999999,112.4773,111.1201,111.4594,14356500
Day35,111.3746,113.0711,111.0353,111.3746,16739800
Day36,111.2049,112.9863,111.2049,111.7987,19799800
Day37,111.6291,113.1559,110.7808,112.7318,26117700
