Time,Open,High,Low,Close,Volume
Day1,176.0517,177.9049,174.9398,176.9783,48579400
Day2,177.5342,186.8001,177.5342,182.1672,176987300
Day3,181.6112,186.2441,179.75799999999998,183.2791,105656900
Day4,183.4644,191.2477,183.2791,186.4295,113472600
Day5,187.1707,190.3211,183.4644,185.3176,98163400
Day6,188.2826,190.3211,180.1287,183.0937,125193100
Day7,183.4644,201.4402,181.9818,197.5485,470178900
Day8,198.6604,205.7025,195.6953,196.6219,369013800
Day9,188.0973,189.0239,181.0553,185.6882,237997800
Day10,184.5763,185.8735,180.4993,181.2406,110333200
Day11,180.8699,184.5763,179.5727,183.2791,85216600
Day12,183.0937,183.835,181.2406,182.3525,55453900
Day13,182.3525,186.0588,181.6112,184.2057,89199600
Day14,183.0937,183.2791,176.6076,179.0168,115601400
Day15,178.2755,178.8314,175.1251,176.0517,55657000
Day16,177.3489,179.75799999999998,176.4223,176.6076,59821300
Day17,176.0517,177.1636,172.16,173.4572,64539000
Day18,173.2719,174.9398,172.16,173.4572,34768700
Day19,173.4572,174.1985,171.7894,172.71599999999998,37333200
Day20,172.5306,172.5306,168.2683,170.3068,61347800
Day21,170.3068,171.9747,169.7509,171.2334,34864700
Day22,170.6775,171.0481,169.1949,170.3068,35637100
Day23,169.9362,170.3068,168.639,169.1949,27558300
Day24,168.639,170.1215,167.5271,170.1215,23897400
Day25,170.1215,173.2719,169.5656,171.0481,37527100
Day26,170.8628,171.0481,168.083,168.8243,33792700
Day27,168.639,169.0096,168.083,168.4537,36938800
Day28,168.639,170.1215,167.7124,169.1949,58587700
Day29,169.0096,170.6775,168.2683,170.3068,34928100
Day30,169.9362,171.2334,169.0096,170.6775,38420700
Day31,170.8628,171.9747,170.1215,170.3068,35344000
Day32,170.3068,171.2334,169.1949,169.7509,29980100
Day33,169.5656,170.6775,169.3802,170.1215,19815400
Day34,169.9362,170.6775,169.5656,170.4922,29668700
Day35,170.4922,170.4922,169.1949,169.1949,23284900
Day36,168.639,169.3802,167.5271,167.7124,32032000
Day37,168.639,170.4922,167.7124,168.639,41303900
Day38,168.2683,172.16,165.4886,170.6775,120606300
Day39,170.1215,170.3068,168.4537,169.3802,25788100
Day40,169.5656,171.0481,169.0096,169.9362,23022200
Day41,169.7509,171.7894,169.1949,170.3068,25837000
Day42,170.1215,172.16,169.7509,171.7894,34461000
Day43,172.16,172.71599999999998,171.2334,171.9747,32685600
Day44,171.9747,172.16,169.9362,170.6775,44689700
Day45,169.5656,171.0481,169.3802,170.6775,21285600
Day46,170.8628,171.4187,170.3068,170.8628,22763900
Day47,171.0481,171.6041,169.5656,170.1215,18700100
Day48,170.1215,170.1215,168.8243,169.7509,26964600
Day49,169.7509,170.3068,169.5656,169.7509,21541800
Day50,169.9362,172.3453,169.0096,172.16,44698300
Day51,172.3453,178.8314,172.16,175.8664,88005600
Day52,175.8664,177.1636,174.1985,175.4957,37734300
Day53,175.4957,176.9783,174.1985,176.237,33492400
Day54,176.0517,176.793,175.3104,176.4223,21441400
Day55,176.4223,176.6076,173.4572,173.6426,45366300
Day56,173.6426,175.4957,173.0866,175.1251,29946900
Day57,175.1251,176.237,172.3453,172.5306,43958900
Day58,172.71599999999998,177.9049,172.5306,177.5342,67061400
Day59,177.3489,180.8699,177.3489,179.9434,98132600
Day60,179.2021,180.31400000000002,178.4608,179.5727,45395400
Day61,179.9434,180.6846,177.1636,178.4608,37740400
Day62,177.7195,178.4608,175.3104,177.5342,37744900
Day63,176.793,176.793,174.3838,174.9398,30566900
Day64,174.9398,176.237,174.7545,175.4957,19549600
Day65,176.6076,177.5342,175.68099999999998,176.6076,34051100
Day66,176.793,177.3489,174.5691,174.7545,24311200
Day67,174.3838,175.4957,171.9747,174.7545,37696700
Day68,174.3838,176.237,174.0132,175.4957,28751400
Day69,175.8664,176.237,174.1985,175.4957,23966800
Day70,175.8664,179.0168,175.3104,177.5342,56929100
Day71,176.9783,179.2021,176.237,179.0168,60775300
Day72,178.4608,181.2406,178.0902,178.4608,43216500
Day73,178.2755,189.5799,176.793,186.9854,191109100
Day74,186.6148,189.9505,184.7616,187.3561,110357900
Day75,186.9854,188.6533,185.1322,186.9854,56566600
Day76,187.3561,189.2092,184.2057,185.3176,87903600
Day77,186.0588,186.8001,179.9434,180.4993,116622200
Day78,179.3874,180.31400000000002,176.237,178.2755,80549800
Day79,178.4608,181.2406,177.3489,180.4993,63565100
Day80,178.4608,180.31400000000002,176.4223,177.1636,51063600
Day81,177.3489,181.0553,176.9783,178.8314,51686100
Day82,179.3874,180.1287,176.793,179.3874,50666300
Day83,179.2021,180.4993,177.9049,179.0168,34392900
Day84,179.75799999999998,179.75799999999998,176.9783,177.3489,34019400
Day85,177.3489,178.0902,175.4957,175.8664,45161400
Day86,175.68099999999998,176.4223,173.0866,175.8664,44109700
Day87,175.1251,177.5342,174.0132,176.6076,32098900
Day88,179.2021,180.4993,177.7195,178.6461,44662800
Day89,178.6461,179.75799999999998,177.5342,179.3874,40115700
Day90,179.75799999999998,180.4993,177.7195,179.3874,42052100
Day91,179.3874,183.4644,178.0902,181.6112,66223800
Day92,181.2406,184.391,177.3489,183.0937,87150400
Day93,185.3176,188.468,183.0937,185.1322,108045000
Day94,184.2057,184.391,180.4993,183.6497,58317500
Day95,182.3525,183.4644,180.6846,183.2791,45569100
Day96,182.1672,183.0937,180.1287,182.5378,37651900
Day97,181.7965,181.9818,177.7195,177.9049,57851500
Day98,177.3489,179.2021,176.4223,178.4608,32168000
Day99,177.9049,179.2021,176.793,179.0168,30560832
Day100,179.0168,181.0553,178.4608,180.1287,36231376
Day101,180.1287,181.6112,176.9783,181.4259,68700977
Day102,180.8699,181.9818,179.9434,180.6846,33684073
Day103,180.8699,181.7965,179.2021,179.5727,25615736
Day104,179.0168,179.2021,172.71599999999998,176.9783,54140387
Day105,176.0517,176.4223,173.2719,174.5691,65500627
Day106,174.0132,174.1985,172.5306,173.4572,23064595
Day107,173.4572,174.0132,171.9747,173.4572,25031547
Day108,172.9013,173.6426,172.5306,173.2719,21496037
Day109,173.2719,173.8279,170.1215,173.4572,76976224
Day110,172.16,175.4957,168.8243,172.9013,111512396
Day111,172.16,172.9013,171.4187,172.71599999999998,27461308
Day112,172.16,173.2719,169.3802,169.9362,28474667
Day113,169.5656,171.4187,168.2683,170.1215,32902315
Day114,169.5656,171.2334,168.8243,170.3068,32190848
Day115,170.1215,172.16,169.5656,171.6041,35243686
Day116,171.0481,172.5306,169.5656,171.9747,45758983
Day117,171.4187,172.16,170.3068,170.6775,25679342
Day118,169.7509,171.9747,169.3802,170.8628,22185158
Day119,171.0481,173.0866,170.4922,172.71599999999998,30085372
Day120,172.71599999999998,174.1985,171.0481,172.5306,33506782
Day121,172.71599999999998,174.3838,171.4187,173.0866,33959948
Day122,172.71599999999998,174.3838,171.6041,173.8279,28813260
Day123,174.3838,180.6846,174.3838,179.9434,110804480
Day124,179.75799999999998,181.4259,176.793,177.3489,54792076
Day125,183.4644,185.1322,179.2021,179.5727,74422304
Day126,179.5727,184.391,179.3874,180.8699,57214496
Day127,180.1287,183.2791,179.0168,180.31400000000002,44641456
Day128,180.31400000000002,180.8699,177.7195,179.5727,36116772
Day129,179.3874,183.4644,178.8314,182.1672,49850716
Day130,181.6112,183.835,180.6846,182.7231,85299528
Day131,182.9084,186.6148,181.9818,186.2441,99237248
Day132,186.9137,188.6355,183.8526,185.1918,78853176
Day133,185.1918,189.9747,184.044,185.1918,91056576
Day134,184.044,186.53099999999998,183.47,185.1918,43968040
Day135,184.2353,184.8092,179.835,180.40900000000002,75087064
Day136,180.40900000000002,180.7916,178.1132,180.2177,42459088
Day137,179.835,180.40900000000002,178.8785,179.6437,31389510
Day138,179.4524,181.5569,179.0698,180.7916,31605976
Day139,180.6003,182.1308,178.6872,179.4524,32829096
Day140,180.40900000000002,184.2353,178.6872,183.6613,73075264
Day141,182.8961,188.6355,181.7482,183.8526,122547456
Day142,183.2787,192.2704,182.7048,191.1226,159021968
Day143,192.0791,199.923,190.9313,195.9054,260355584
Day144,195.9054,195.9054,192.4618,194.5662,78826072
Day145,193.9923,195.3315,191.5052,191.6965,65858048
Day146,192.4618,194.1836,190.166,192.6531,60001520
Day147,191.8878,192.0791,190.166,190.7399,48046504
Day148,191.5052,195.5228,190.7399,194.7575,71071024
Day149,194.7575,194.9488,188.4442,189.2094,69320872
Day150,189.4007,192.6531,187.105,192.2704,59513920
