Time,Open,High,Low,Close,Volume
Day1,12.9351,13.1388,12.8842,12.9606,134835700
Day2,12.9351,12.9606,12.8587,12.9097,73741200
Day3,12.9351,13.0115,12.8078,12.9861,95074500
Day4,12.9861,13.1388,12.9351,13.0879,152271700
Day5,13.0879,13.3935,13.0115,13.3171,241979600
Day6,13.2407,13.2662,13.0115,13.037,118051400
Day7,13.3935,13.6481,13.2916,13.4189,298735000
Day8,13.4699,14.4884,13.368,14.0046,474033800
Day9,13.7754,13.9536,13.4444,13.6736,271748800
Day10,13.5208,13.9027,13.4699,13.4953,164268100
Day11,13.4444,13.5717,13.3425,13.5208,124460000
Day12,13.5208,13.5717,13.368,13.4953,96115900
Day13,13.4699,13.8518,13.4444,13.7754,181462600
Day14,14.1574,14.3101,13.8263,13.9027,254164600
Day15,13.9536,14.2083,13.9282,14.03,174323400
Day16,14.081,14.5902,14.03,14.3356,273578500
Day17,14.081,14.1064,13.7245,13.8773,210230700
Day18,13.7499,14.081,13.4699,14.03,145161800
Day19,14.0046,14.2847,13.9027,14.0555,109710800
Day20,14.0046,14.081,13.6226,13.9027,134472300
Day21,13.9027,14.4884,13.7754,14.1574,230104600
Day22,14.0555,14.5902,14.0555,14.3611,225868300
Day23,14.2592,14.5648,14.2083,14.3611,175254800
Day24,14.2592,14.4629,13.9536,14.4374,122380300
Day25,14.3101,14.4374,14.1319,14.1574,97218600
Day26,14.1828,14.3865,14.0555,14.1319,93169300
Day27,14.03,14.1064,13.7499,13.7754,128260300
Day28,13.7754,13.8773,13.699000000000002,13.7754,87951900
Day29,13.8009,14.0555,13.7499,14.03,102820600
Day30,13.9536,14.2337,13.9027,14.1828,100783000
Day31,14.1319,14.7939,14.1064,14.6411,238697800
Day32,14.7175,15.3032,14.6157,14.9467,328612100
Day33,14.9467,15.3541,14.8448,14.9212,208412800
Day34,14.7685,15.0486,14.6157,15.0231,128579700
Day35,14.9212,15.0486,14.6666,14.6666,113645500
Day36,14.7175,15.0486,14.6157,14.8448,147131900
Day37,14.8194,15.2013,14.7175,14.9976,131748700
Day38,14.9976,15.2268,14.8448,15.1759,255364500
Day39,15.1249,15.456,15.1249,15.2523,196082000
Day40,15.2777,15.3286,15.0995,15.2013,105178300
Day41,15.1249,15.1759,14.6921,14.9212,227103400
Day42,14.8194,14.9722,14.7685,14.9212,77271300
Day43,14.9467,15.0231,14.7939,14.9467,120774500
Day44,14.9467,15.456,14.8958,15.4305,220296900
Day45,15.3796,15.4814,15.2268,15.405,99044100
Day46,15.405,15.5069,15.2013,15.3541,88310900
Day47,15.3541,15.3796,15.0231,15.1504,59164300
Day48,15.1504,15.2523,14.9976,15.1504,91671800
Day49,15.074000000000002,15.1249,14.8448,14.9467,120022900
Day50,14.8448,14.9722,14.743,14.8958,145172900
Day51,14.8958,14.8958,14.6157,14.7939,297648600
Day52,14.743,14.9722,14.6921,14.9467,195626300
Day53,14.9722,15.0995,14.8703,14.9467,171441600
Day54,14.8958,14.9467,14.7939,14.8703,89134600
Day55,14.8958,14.9976,14.8448,14.8958,126880500
Day56,14.8703,14.8958,14.7175,14.7939,119110400
Day57,14.7939,14.9212,14.7175,14.743,104121800
Day58,14.7685,14.9722,14.7175,14.9722,150800800
Day59,14.9976,15.0486,14.8703,14.9976,104524200
Day60,15.0486,15.2268,14.9976,15.2013,163358800
Day61,15.1249,15.2013,14.9212,14.9722,102297200
Day62,14.9976,15.074000000000002,14.7175,14.7939,143292300
Day63,14.7685,14.7939,14.5393,14.5902,143887800
Day64,14.5902,14.6921,14.5648,14.6411,61590400
Day65,14.6411,14.7175,14.5393,14.6666,98793300
Day66,14.6921,14.7175,14.5902,14.6157,55572500
Day67,14.5648,14.5648,14.2847,14.412,147628600
Day68,14.3865,14.412,14.2592,14.3611,98095500
Day69,14.3356,14.3611,14.2592,14.3356,86532200
Day70,14.3356,14.3865,14.2847,14.3865,101402800
Day71,14.2592,14.3101,13.9536,14.2592,243217700
Day72,14.1064,14.1319,14.03,14.03,96607000
Day73,13.9791,14.1828,13.8518,14.081,126940400
Day74,14.081,14.1574,14.0046,14.1319,73246500
Day75,14.081,14.2592,14.03,14.2337,96768000
Day76,14.2592,14.4374,14.2592,14.3611,105976600
Day77,14.3611,14.3611,14.081,14.1574,91782700
Day78,14.1574,14.4629,14.1574,14.4629,174193400
Day79,14.412,14.5648,14.3865,14.4374,123005700
Day80,14.3865,14.6921,14.3611,14.6157,169043400
Day81,14.6157,14.6921,14.412,14.5393,119370000
Day82,14.5138,14.8448,14.4629,14.7685,136578500
Day83,14.8958,14.9212,14.3865,14.5393,205817000
Day84,14.5393,14.5648,14.3865,14.4374,87886200
Day85,14.4629,14.5648,14.3865,14.4884,101238300
Day86,14.5138,14.5902,14.2847,14.4374,128092200
Day87,14.4884,14.6411,14.3865,14.6157,110164100
Day88,14.6157,14.9212,14.5902,14.8958,151070500
Day89,14.9212,15.0486,14.7939,14.9976,138001600
