Time,Open,High,Low,Close,Volume
Day1,30.3964,30.4197,29.6266,30.0698,26946200
Day2,29.9998,30.6297,29.6499,30.2564,27727800
Day3,30.1048,30.3147,29.3583,30.1864,24299300
Day4,30.2331,30.653000000000002,29.7549,30.2914,27913600
Day5,30.1631,30.8629,29.8715,30.583000000000002,25786500
Day6,30.4314,31.3762,29.9765,30.0815,33695800
Day7,29.8832,30.5014,29.4283,29.6499,20967800
Day8,29.6266,29.7199,29.0434,29.37,19725800
Day9,28.5768,29.2183,28.4835,28.9617,20132400
Day10,28.9267,29.02,28.4135,28.5185,8337400
Day11,28.4602,29.3,28.3668,29.23,14361800
Day12,29.1367,29.4283,28.8101,28.8567,9930300
Day13,28.7868,30.0698,28.5768,30.0465,34221000
Day14,29.8598,30.443,29.0317,29.7315,27656400
Day15,29.6032,29.6032,29.055,29.3466,10420400
Day16,29.2766,29.8132,29.055,29.5799,14791900
Day17,29.2766,29.3933,27.8303,28.1219,20545300
Day18,27.9703,27.9703,27.4454,27.737,13410700
Day19,27.701999999999998,27.737,27.2704,27.5154,9518100
Day20,27.4337,27.596999999999998,27.2704,27.5154,8222400
Day21,27.5854,28.2036,27.5154,27.9586,9971500
Day22,27.877,27.9236,27.5387,27.7953,5394400
Day23,27.6787,27.912,27.5154,27.5387,6538000
Day24,27.2704,28.4485,27.1888,28.2619,9860600
Day25,28.1686,28.4135,27.9586,27.9819,5712400
Day26,27.9703,28.0752,27.7603,27.8186,5144600
Day27,27.7137,28.1102,27.5854,27.7953,4828700
Day28,27.7953,28.5068,27.7953,28.0986,10274400
Day29,28.2152,29.6616,28.2152,29.4516,25847600
Day30,29.16,29.6732,29.125,29.5332,12798300
Day31,29.4749,30.1514,29.2766,29.6032,13200500
Day32,29.4983,29.7199,29.2883,29.37,10040000
Day33,29.2183,30.2098,29.195,29.8365,14414200
Day34,29.7432,29.8598,29.1483,29.1833,10097700
Day35,29.1833,30.0581,29.055,29.7549,15354100
Day36,29.6499,30.0348,29.5332,29.5916,9261700
Day37,29.5216,30.8629,29.5216,29.9765,24767500
Day38,29.8365,30.5947,29.195,30.5597,25986600
Day39,30.2098,30.7813,30.1514,30.513,12496200
Day40,30.548000000000002,31.0029,30.3497,30.443,14282700
Day41,30.3264,30.513,29.6266,29.8715,12745000
Day42,29.8482,30.0931,29.7082,29.7432,10487300
Day43,29.7432,30.0698,29.4633,30.0465,11777700
Day44,29.8715,30.5014,29.8015,30.3147,11010300
Day45,30.2098,30.2914,29.9065,30.1048,7595000
Day46,29.8832,30.408,29.8132,29.9998,10615300
Day47,29.9415,30.0348,29.1833,29.335,10033800
Day48,29.3466,30.3847,29.3466,30.3264,21742200
Day49,30.3264,30.8629,30.1164,30.6063,19555700
Day50,30.5713,31.0496,30.4314,30.8396,16438000
Day51,30.7463,31.4112,30.6297,30.9096,15992600
Day52,30.7813,31.2012,30.6996,30.793000000000003,10901500
Day53,30.758000000000003,31.8427,30.758000000000003,31.3295,18298400
Day54,31.3295,31.3878,30.7696,30.9912,15008000
Day55,30.9096,31.3178,30.7463,31.0029,12052100
Day56,30.9679,31.1429,30.6647,30.8979,8302200
Day57,30.8513,31.8194,30.8046,30.9912,13589500
Day58,30.8046,31.1779,30.618000000000002,30.8746,18919700
Day59,30.8746,31.5744,30.723000000000003,31.1312,16608600
Day60,31.0262,31.2595,30.9329,31.0729,7849400
Day61,31.0729,31.2945,30.5247,30.7696,10155200
Day62,30.7696,30.8863,30.2914,30.4664,10089300
Day63,30.2914,30.2914,29.8132,29.8482,12433600
Day64,29.8132,30.0465,29.7432,29.9415,7244600
Day65,29.9182,30.0931,29.7432,29.8015,8457500
Day66,29.7899,30.1048,29.4516,29.4749,12853400
Day67,29.3233,29.5916,29.2533,29.4983,7515500
Day68,29.4983,29.5799,29.2883,29.4866,5870300
Day69,29.5216,30.0698,29.37,29.9998,13644200
Day70,29.9998,30.1164,29.8365,29.9881,9362500
Day71,29.9415,29.9415,29.3466,29.4866,8906900
Day72,29.4633,29.4749,28.9151,29.0434,11563100
Day73,29.0084,29.335,29.0084,29.3233,8488900
Day74,29.1717,29.4166,29.1717,29.335,6949800
Day75,29.23,29.4166,29.0084,29.1133,5562800
Day76,29.265,29.8598,29.23,29.8248,13042100
Day77,29.8365,29.9532,29.6965,29.8248,10721700
Day78,29.8598,29.9765,29.4516,29.7199,6512300
Day79,29.6849,29.9298,29.1017,29.3583,12515700
Day80,29.23,29.2533,28.2969,28.4952,15809800
Day81,28.4952,29.0667,28.4952,28.6584,11730700
Day82,28.6701,29.055,28.5185,29.0434,8483800
Day83,29.02,29.5332,28.7051,29.265,10006700
Day84,29.265,29.4516,29.125,29.23,4716200
Day85,29.2766,29.3933,28.95,29.0084,6432800
Day86,29.0434,29.3233,28.7518,28.9267,8455600
Day87,29.02,29.5799,28.8101,29.5099,8713800
Day88,29.4866,29.4983,28.9034,29.4633,10490700
Day89,29.4049,29.4049,29.055,29.23,6926200
Day90,29.195,29.3233,29.0667,29.2183,6129200
Day91,28.9967,29.5566,28.9267,29.0434,9199900
Day92,29.02,29.16,28.4602,28.9151,8589400
Day93,28.7868,29.2416,28.7284,28.9967,9133700
Day94,29.02,29.265,28.9734,29.125,4759400
Day95,29.1017,29.125,28.4602,28.5885,5978500
Day96,28.5535,28.7401,28.3552,28.7168,5111900
Day97,28.6818,28.6818,27.9936,28.0519,7047300
Day98,27.9936,28.1686,27.701999999999998,27.7953,5217900
Day99,27.8303,27.8886,27.4104,27.772,8040900
Day100,27.737,28.2385,27.5387,28.1452,6934608
Day101,28.0869,28.8684,27.912,28.6351,13429236
Day102,28.5535,29.1717,28.5185,29.0434,11628267
Day103,29.16,30.3147,29.16,29.7199,20663391
Day104,29.7199,30.4197,29.5332,30.3381,22193471
Day105,30.3264,30.7346,30.0931,30.478,12236178
Day106,30.2797,30.6996,30.2098,30.2564,6999707
Day107,30.1514,30.5014,29.8132,30.0115,7048146
Day108,30.0815,30.653000000000002,29.8948,30.3847,12207184
Day109,30.2098,30.443,29.7082,30.0581,10160142
Day110,30.0231,31.1312,29.7665,30.7463,16776612
Day111,30.688000000000002,30.9679,30.2098,30.5247,13004197
Day112,30.3381,31.9477,30.3381,31.6094,25570510
Day113,31.3528,31.901,31.2479,31.5161,12330100
Day114,31.4811,32.6592,31.2595,32.3676,20470387
Day115,32.3209,32.7292,31.2362,31.6561,18153431
Day116,31.4928,31.936,31.2595,31.5744,10510987
Day117,31.4928,31.6094,30.5713,30.6647,23970297
Day118,30.3614,31.1079,30.3614,30.6063,12444139
Day119,30.5597,30.9679,30.5597,30.6063,7827000
Day120,30.5947,31.9477,30.5947,31.5861,16050796
Day121,31.7261,32.7642,31.4695,32.5776,21550972
Day122,32.4376,32.7525,31.4928,32.0177,12973007
Day123,31.7727,33.4524,31.7611,33.429,21453908
Day124,33.3357,34.1055,33.0091,33.3357,15616567
Day125,33.2307,34.3388,32.4959,32.7525,17697448
Day126,32.8458,33.4757,32.3676,33.4524,11190953
Day127,33.1024,33.639,32.5776,32.7875,9660481
Day128,32.6359,32.6475,31.6444,32.076,18194728
Day129,31.936,32.3676,31.5161,32.216,15162087
Day130,32.1343,32.6825,31.8777,32.0643,21808420
Day131,32.0877,33.324,31.8311,33.2424,23891000
Day132,33.1841,34.0356,33.0324,33.1957,26770148
Day133,32.8925,33.9189,32.8458,33.8256,26011202
Day134,33.5923,33.6506,32.9275,33.2191,13103316
Day135,33.1258,33.2774,31.8777,32.0643,21798894
Day136,32.041,32.146,31.1429,31.6561,18843812
Day137,31.6443,31.8915,31.4443,31.5737,13757631
Day138,31.5855,32.1033,31.4561,31.9268,15006922
Day139,32.0092,32.0092,30.8912,31.2325,21808392
Day140,31.2913,31.5973,30.7617,31.5267,19684408
Day141,31.409000000000002,32.8918,31.3148,32.3151,36558804
Day142,32.0798,32.6917,31.7738,32.574,21352236
Day143,32.374,33.0565,31.9503,32.2092,30944192
Day144,32.068000000000005,32.1857,31.409000000000002,31.915,25114812
Day145,31.7503,31.8679,31.2795,31.3972,15800987
Day146,31.3619,31.7149,31.1501,31.5502,19308700
Day147,31.3148,31.8091,31.1501,31.7503,19889398
Day148,31.6796,31.7385,31.0442,31.4443,19081442
Day149,31.4207,31.5737,31.0089,31.561999999999998,24771792
Day150,31.5384,32.6799,31.3737,32.221,44599380
Day151,32.1974,32.9506,31.8562,32.7035,37788272
Day152,32.4681,32.6211,32.0092,32.2916,22338274
Day153,32.1268,32.7976,31.9032,31.915,16478627
Day154,31.7738,33.7744,31.6679,33.3978,36901324
Day155,33.1977,33.9862,32.7035,32.9271,36246256
Day156,32.8447,34.3039,32.6564,33.891999999999996,33816696
Day157,33.8332,34.2451,33.2919,34.1862,29100306
Day158,34.1509,35.5866,33.1624,34.7158,59398844
Day159,34.4216,34.8923,33.5625,34.3745,31217744
Day160,34.2804,34.6687,33.8332,34.5628,28385836
Day161,34.4216,34.7511,33.7861,34.4687,25580644
Day162,34.3039,34.3039,33.5978,33.7626,20027164
Day163,33.5037,33.9744,33.2801,33.3154,23701124
Day164,33.3742,33.7038,33.033,33.2801,17989780
Day165,33.2801,33.7038,32.7858,33.3507,21586528
Day166,33.3154,33.4566,32.727,33.3036,16495094
Day167,33.2919,33.2919,32.8211,32.8565,10951412
Day168,32.8682,33.1271,32.4093,32.4799,25201468
Day169,32.5858,33.8567,32.5387,33.8214,35544792
Day170,33.7744,33.7744,33.1036,33.3272,21738526
Day171,33.2683,33.4449,32.6682,32.7741,16981000
Day172,32.5976,32.8211,31.8562,31.9974,22711444
Day173,31.8326,32.374,31.4796,32.1151,16542550
Day174,32.0092,32.2916,31.761999999999997,32.2445,9974352
Day175,32.0092,32.0915,31.7385,31.8209,11134049
Day176,31.761999999999997,31.9974,31.5384,31.915,16083294
Day177,31.7385,32.0562,31.4443,31.7973,18736716
Day178,31.8326,32.221,31.5502,32.0915,11351777
Day179,32.0092,32.7505,31.9856,32.2327,15410752
Day180,32.1268,32.1386,31.7856,31.9738,6482301
Day181,32.8565,33.0447,32.1386,32.2916,24028336
Day182,32.3269,33.3036,32.0915,33.2919,30504804
Day183,34.0097,34.0097,32.6329,32.7623,30946418
Day184,32.7623,33.2213,32.5858,33.033,19378532
Day185,32.9506,33.3036,32.6799,33.0565,13657676
Day186,32.8918,33.2566,32.4799,32.5269,13352527
Day187,32.5034,34.6923,32.5034,34.4451,56289680
Day188,34.4216,35.516,34.3039,34.7276,47708056
Day189,34.7158,35.3513,34.3863,35.316,23964788
Day190,35.1042,35.4219,34.351,34.5864,22836620
Day191,34.4334,35.1395,34.0097,34.4451,17792228
Day192,34.4922,34.6923,33.539,33.845,25553172
Day193,33.6567,34.0097,33.4213,33.9391,14651260
Day194,33.8097,34.4687,33.7861,34.4451,19879064
Day195,34.1627,34.3039,33.4096,33.7508,21099778
Day196,33.6684,33.8214,33.5037,33.5508,9429921
Day197,33.5625,33.7508,33.3742,33.6214,9516699
Day198,33.7861,33.8567,32.7858,32.88,27232868
Day199,32.9506,33.033,32.4799,32.9271,21696534
Day200,32.8094,32.9506,32.4916,32.6917,12775006
Day201,32.5976,32.8918,32.4916,32.8565,15122946
Day202,32.7858,33.2448,32.6564,32.9859,13964885
Day203,32.9859,33.2801,32.6211,32.7152,15287740
Day204,32.727,32.9388,32.5858,32.7035,12613695
Day205,32.5976,32.6917,32.2445,32.4681,16002491
Day206,32.3622,32.88,32.3034,32.5858,14039731
Day207,32.5858,33.1624,32.4681,33.1153,18633264
Day208,33.08,33.385999999999996,32.8565,33.3742,21094276
Day209,33.1977,33.539,33.1271,33.385999999999996,12631431
Day210,33.2801,33.2919,32.7388,32.7741,12773900
Day211,32.7505,32.9506,32.6329,32.8447,5822720
Day212,32.8447,33.0447,32.5622,32.6446,9704336
Day213,33.2448,33.3507,32.574,32.6564,15844182
Day214,32.6211,32.8211,31.9738,32.2445,16050451
Day215,32.3269,32.6564,32.1504,32.4799,10710986
Day216,32.4328,33.1389,32.3034,33.0565,18528032
Day217,32.9388,33.1271,32.7152,32.8918,11382013
Day218,32.8447,33.5743,32.7388,33.3742,23785480
Day219,33.4331,33.4684,32.9859,33.2095,14188135
Day220,33.3036,33.8332,33.2448,33.7626,27253620
Day221,33.6567,33.9744,33.1271,33.9156,26654058
Day222,33.6331,33.7038,33.2683,33.3272,10959929
Day223,34.2451,34.3157,33.4802,34.1156,28777332
Day224,33.8803,34.7864,33.8214,34.4334,29299000
Day225,34.3275,34.5157,34.1509,34.4687,13588613
Day226,34.2804,35.3042,34.1862,34.4804,34720552
Day227,34.7511,34.9394,34.2098,34.6805,34330712
Day228,35.01,37.1165,34.7158,36.4457,60386352
Day229,36.1162,37.1871,35.9044,36.9517,38101992
Day230,36.9282,39.0582,36.6222,38.6934,53952260
Day231,38.5993,39.1877,37.7755,38.764,32735276
Day232,38.4345,39.07,38.0344,38.9288,28039606
Day233,38.9405,38.9523,37.6696,38.2698,25123828
Day234,38.2345,39.1288,37.8814,38.4227,35730896
Day235,38.1639,38.6934,37.7873,38.1168,30477236
Day236,37.9991,38.6346,37.8696,38.5875,20548736
Day237,38.4345,40.6822,38.2698,40.0467,42385852
Day238,39.8938,40.7646,39.5407,39.8585,27231508
Day239,39.9526,40.235,38.9641,39.6349,26898172
Day240,39.2583,39.4583,38.0815,38.1168,30387646
Day241,37.8226,39.7408,37.799,39.4466,31659510
Day242,39.3877,40.6587,38.8346,40.6351,42013544
Day243,40.6116,40.6234,39.1877,40.1056,26211784
Day244,40.0938,41.6354,39.7172,40.8352,38910416
Day245,40.9176,41.5413,38.9523,39.576,37782748
Day246,39.423,40.0114,37.6578,38.4934,30097038
Day247,38.1756,38.3404,37.0106,38.0815,28670528
Day248,37.952,38.2462,37.2224,38.1756,22398904
Day249,37.8343,38.3521,37.4107,37.6461,12729847
Day250,37.8461,38.0344,36.5046,36.8811,19693746
Day251,36.8458,36.8458,35.7985,36.4575,19052512
Day252,36.3633,36.6928,35.9985,36.3516,15846251
Day253,36.0809,37.1871,35.8808,37.0223,20556620
Day254,36.7164,38.0932,36.6575,37.8814,32080736
