Time,Open,High,Low,Close,Volume
Day1,5.0664,5.2833,5.0536,5.1557,233663300
Day2,5.143,5.2323,5.1047,5.194,122467400
Day3,5.2068,5.2961,5.194,5.2833,192462500
Day4,5.3089,5.4110000000000005,5.2833,5.2961,170716500
Day5,5.2706,5.3216,5.2068,5.3089,136429100
Day6,5.2961,5.3471,5.194,5.2195,147597600
Day7,5.2195,5.2833,5.2068,5.2451,82312800
Day8,5.2578,5.2706,5.143,5.2068,137775300
Day9,5.1685,5.2068,5.1047,5.1812,124487100
Day10,5.1812,5.194,5.143,5.143,57856200
Day11,5.143,5.1685,5.0919,5.1302,70592100
Day12,5.143,5.2068,5.1047,5.1685,96193300
Day13,5.1685,5.3982,5.143,5.3471,288166400
Day14,5.3982,5.4748,5.2578,5.3344,237060400
Day15,5.2833,5.3216,5.2195,5.2706,105202100
Day16,5.2578,5.3982,5.2451,5.2961,128622600
Day17,5.2706,5.2706,5.0664,5.0791,187553900
Day18,5.0919,5.1047,5.0153,5.0409,105842000
Day19,5.0281,5.0664,5.0026,5.0281,59265100
Day20,5.0281,5.0281,4.9132,4.9771,110631600
Day21,4.9643,5.0536,4.9515,5.0153,117545700
Day22,5.0026,5.0153,4.9643,4.9771,51555700
Day23,4.9771,4.9771,4.926,4.9643,59265200
Day24,4.926,4.9898,4.9132,4.9771,57041900
Day25,4.9771,4.9898,4.9388,4.9515,39312900
Day26,4.9515,4.9643,4.926,4.9515,33796800
Day27,4.9388,4.9898,4.926,4.9643,43539700
Day28,4.9515,4.9898,4.9388,4.9898,58051900
Day29,4.9771,5.0536,4.9643,5.0409,136701300
Day30,5.0281,5.0664,5.0153,5.0536,71910600
Day31,5.0536,5.0664,5.0281,5.0281,52666600
Day32,5.0409,5.0409,4.9771,5.0026,51624000
Day33,4.9898,5.0153,4.9771,5.0026,47080200
Day34,5.0026,5.0153,4.9771,4.9898,42862100
Day35,4.9898,5.0153,4.9771,4.9898,52290800
Day36,4.9898,5.0026,4.9515,4.9643,39174200
Day37,4.9771,5.0281,4.9515,5.0026,66926900
Day38,5.0026,5.1047,4.9643,5.0664,188970400
Day39,5.0409,5.0664,5.0281,5.0536,56533700
Day40,5.0409,5.1302,5.0409,5.0919,71378200
Day41,5.0919,5.1302,5.0536,5.0791,50943500
Day42,5.0664,5.1174,5.0664,5.1047,58844300
Day43,5.1047,5.1302,5.0791,5.0919,38968100
Day44,5.0919,5.1812,5.0791,5.1812,78614900
Day45,5.1685,5.194,5.1302,5.1812,34575500
Day46,5.1812,5.2451,5.1812,5.2068,55513100
Day47,5.2068,5.2195,5.143,5.143,29409200
Day48,5.1685,5.1812,5.143,5.1557,38106100
Day49,5.1557,5.1685,5.1302,5.143,30952100
Day50,5.143,5.1685,5.1047,5.1685,40204600
Day51,5.1685,5.1812,5.143,5.1812,49000500
Day52,5.1812,5.2323,5.1685,5.2068,66969800
Day53,5.2323,5.2961,5.2195,5.2706,89255600
Day54,5.2706,5.2961,5.2323,5.2578,37804200
Day55,5.2578,5.3344,5.2451,5.2833,101909000
Day56,5.2961,5.3344,5.2833,5.3089,49859400
Day57,5.3089,5.3216,5.2195,5.2323,46236100
Day58,5.2195,5.3854,5.2195,5.3471,154087000
Day59,5.3471,5.4237,5.3344,5.3471,82436500
Day60,5.3344,5.3727,5.3089,5.3471,63098800
Day61,5.3471,5.3727,5.3216,5.3471,50613800
Day62,5.3471,5.3471,5.2833,5.3089,44500800
Day63,5.2961,5.3089,5.2706,5.2961,58809600
Day64,5.2833,5.3344,5.2706,5.2833,60231500
Day65,5.2961,5.4237,5.2833,5.3727,152145700
Day66,5.3727,5.4365,5.3344,5.3471,51578400
Day67,5.3471,5.3471,5.2961,5.3089,44909200
Day68,5.2961,5.3344,5.2706,5.2833,60069000
Day69,5.2833,5.3216,5.2451,5.3089,61958600
Day70,5.2961,5.3344,5.2578,5.2961,37941700
Day71,5.2833,5.2961,5.2323,5.2451,45441500
Day72,5.2578,5.3216,5.2451,5.2833,66234800
Day73,5.2833,5.3854,5.2706,5.3854,91945000
Day74,5.3599,5.4365,5.3471,5.3982,107939300
Day75,5.4237,5.4492,5.3854,5.4365,135466400
Day76,5.4492,5.4875,5.3982,5.4237,192405500
Day77,5.3854,5.3854,5.2451,5.2578,196012100
Day78,5.2451,5.2706,5.2195,5.2578,73389700
Day79,5.2578,5.2578,5.1812,5.2323,124470200
Day80,5.2068,5.2068,5.143,5.1557,93234700
Day81,5.1557,5.2068,5.143,5.1557,84367800
Day82,5.1685,5.2068,5.143,5.1685,96663900
Day83,5.1685,5.2323,5.1557,5.2195,89714700
Day84,5.2195,5.2451,5.194,5.2195,64020000
Day85,5.2195,5.2323,5.1812,5.2068,59037600
Day86,5.194,5.2323,5.1685,5.2195,70440600
Day87,5.1812,5.2451,5.1685,5.2451,145631100
Day88,5.2323,5.2451,5.194,5.2451,91117000
Day89,5.2323,5.2323,5.1812,5.2068,90491400
Day90,5.194,5.2068,5.1557,5.194,72663200
Day91,5.1812,5.194,5.1557,5.1685,54513600
Day92,5.1685,5.1812,5.1174,5.1557,83861100
Day93,5.1557,5.1557,5.1174,5.143,77878300
Day94,5.1302,5.143,5.1047,5.1174,44733500
Day95,5.1174,5.1302,5.0664,5.1047,79902100
Day96,5.0919,5.1047,5.0026,5.0791,100299900
Day97,5.0536,5.0791,5.0026,5.0153,59705100
Day98,5.0026,5.0153,4.9515,4.9515,81941700
Day99,4.9515,4.9643,4.9132,4.9388,63352500
Day100,4.9515,4.9898,4.9388,4.9643,62635015
Day101,4.9515,5.0026,4.9132,4.9515,77030806
Day102,4.9643,5.0026,4.9388,4.9643,65728688
Day103,4.9643,4.9898,4.9388,4.9515,77207796
Day104,4.9388,4.9515,4.9005,4.926,104256251
Day105,4.926,4.926,4.8494,4.926,90850974
