Time,Open,High,Low,Close,Volume
Day1,125.5765,127.6813,124.863,126.7537,11191000
Day2,127.4672,128.0024,126.0046,126.8608,7800300
Day3,126.8251,127.5743,125.184,126.9321,8678000
Day4,125.5051,126.9321,125.2554,125.9332,7691700
Day5,125.5765,125.8975,123.1862,124.1495,10013500
Day6,124.1138,124.6132,122.9008,122.9722,7914600
Day7,123.0435,123.8641,122.7224,123.3646,4495500
Day8,123.65,124.5419,123.4003,123.65,5552500
Day9,123.5787,124.3635,123.2576,123.4359,4488300
Day10,123.8997,123.9711,122.9722,123.6143,6331900
Day11,123.7927,125.9689,123.4003,124.8986,10625200
Day12,124.7916,124.8273,122.7581,122.9365,7488000
Day13,123.3289,124.3992,122.2943,123.757,5998300
Day14,123.4716,124.3992,123.0792,123.3646,5801000
Day15,123.54299999999999,125.3624,123.3289,124.6132,11337600
Day16,124.1495,125.5051,124.1495,125.0057,7578600
Day17,125.3981,125.4694,124.3278,124.6132,5891200
Day18,124.7916,125.1127,122.7224,122.7938,7123700
Day19,121.4381,125.2197,121.4025,123.2932,7317700
Day20,123.8997,124.1495,121.7592,121.9376,4488600
Day21,121.8306,122.9008,121.6522,122.0089,5666200
Day22,122.4727,122.9365,121.01,121.1527,6763400
Day23,120.796,121.6522,118.2631,118.3701,12072700
Day24,118.7982,119.6901,114.1247,114.6955,9692300
Day25,114.7312,116.3723,114.1604,115.40899999999999,5533200
Day26,115.7301,123.0792,114.3031,119.1193,14851700
Day27,117.7279,122.9722,117.2998,120.3679,14921400
Day28,119.8328,120.1182,118.1917,119.262,6935400
Day29,119.1549,120.0468,118.3344,119.1906,4293900
Day30,119.0836,119.6187,116.9431,117.835,5724800
Day31,117.835,119.9041,117.5496,118.3701,7577500
Day32,118.5841,119.2976,117.9063,118.156,4589400
Day33,118.04899999999999,118.6555,117.4069,117.94200000000001,4218800
Day34,117.0144,117.6209,114.9809,117.4069,4558900
Day35,117.0144,117.0858,116.1225,116.1582,2667100
Day36,116.515,117.835,115.9442,116.0512,3919600
Day37,116.3366,116.9788,115.8015,116.1225,2766900
Day38,116.1582,117.2642,115.9442,116.8004,4582000
Day39,116.8361,120.3322,116.8361,119.583,6966100
Day40,119.8684,120.3322,118.7982,119.9755,5618500
Day41,119.9755,123.0792,119.262,121.2241,11772400
Day42,121.7235,122.223,119.9755,120.689,6280600
Day43,120.9387,125.1484,120.0825,124.3992,13161200
Day44,124.3635,124.3635,122.1873,122.4727,7124700
Day45,122.8651,124.4349,120.5819,121.2598,8703600
Day46,120.7246,121.2954,119.1193,119.4403,5505600
Day47,119.3333,120.7246,118.9766,119.9398,5752200
Day48,119.476,122.1873,117.3712,121.9019,12217700
Day49,120.5819,123.2219,120.5819,122.8651,7003400
Day50,121.6522,123.0435,121.4025,121.6165,4356500
Day51,121.9733,122.7581,121.4738,121.7592,4317300
Day52,121.7235,122.9722,121.5095,122.9365,4962700
Day53,123.4359,124.5062,122.33,123.0078,5111600
Day54,123.7214,123.7214,122.0803,122.2587,3417300
Day55,122.0089,123.8997,121.8306,123.8641,4687500
Day56,123.9354,124.2922,123.2932,123.8284,3238600
Day57,124.0781,124.6132,123.5073,123.8641,3750500
