Time,Open,High,Low,Close,Volume
Day1,363.6117,365.5401,361.6833,362.1118,20572300
Day2,361.2547,367.4685,361.2547,362.5403,27032400
Day3,362.1118,364.2545,356.3266,363.3974,26298400
Day4,364.4687,365.5401,358.4693,358.6835,41085500
Day5,358.4693,364.0402,356.5409,362.1118,31681200
Day6,362.1118,365.7543,358.255,359.1121,31069400
Day7,358.255,362.1118,357.6122,359.9691,24290500
Day8,358.6835,364.2545,358.4693,364.2545,62069400
Day9,359.1121,362.5403,350.9699,356.3266,40449900
Day10,355.6838,362.3261,353.7554,358.4693,31099400
Day11,358.255,361.0405,358.255,360.1834,15725000
Day12,360.6119,361.0405,357.8265,358.0407,17944800
Day13,357.8265,360.1834,356.3266,357.1837,43965400
Day14,356.3266,362.7546,344.1133,356.9694,51732400
Day15,353.7554,356.1123,352.4698,353.7554,17475500
Day16,354.6124,354.6124,344.9704,347.1131,18901700
Day17,344.7562,348.3987,342.8277,343.6848,19552500
Day18,343.4705,345.6132,342.8277,343.2563,18688300
Day19,342.8277,343.2563,339.6137,340.6851,11935500
Day20,341.1136,341.5421,334.2571,337.4711,28133400
Day21,337.6853,339.1852,334.6856,335.5427,21260300
Day22,336.1855,336.1855,332.1144,332.5429,17352200
Day23,333.1857,333.1857,326.972,330.8288,20085200
Day24,327.4005,333.4,327.4005,331.6858,14156500
Day25,330.4002,332.9714,330.4002,331.6858,9656400
Day26,331.6858,332.7572,327.829,329.7574,13977900
Day27,328.4718,330.4002,327.829,328.2576,11954400
Day28,328.2576,337.6853,327.829,337.4711,27202100
Day29,337.8996,339.6137,335.9712,337.4711,12191700
Day30,336.8283,338.7567,334.8999,338.3281,10541700
Day31,339.6137,339.6137,335.3284,335.5427,11223300
Day32,336.3997,336.61400000000003,329.1146,329.7574,19381600
Day33,330.186,334.8999,330.186,334.2571,10098400
Day34,333.1857,339.1852,333.1857,338.7567,13882500
Day35,336.8283,343.4705,336.8283,341.5421,25495700
Day36,341.5421,348.3987,340.8993,345.1847,23730700
Day37,345.1847,352.8983,344.7562,349.2558,29518300
Day38,347.5416,357.1837,345.8275,355.2552,59296200
Day39,353.5411,354.8267,350.5414,353.9696,15732200
Day40,354.3982,356.9694,350.5414,355.6838,17424400
Day41,353.7554,356.5409,350.9699,353.5411,21388200
Day42,354.8267,356.3266,352.4698,356.1123,21716200
Day43,356.3266,359.1121,354.3982,354.8267,12354200
Day44,354.8267,356.3266,348.3987,348.8272,13531800
Day45,348.8272,351.3984,346.8988,348.61300000000006,14799500
Day46,349.2558,351.3984,347.5416,347.7559,7899400
Day47,350.3271,350.3271,344.1133,344.3276,7939600
Day48,345.8275,348.61300000000006,343.6848,344.9704,13036000
Day49,344.9704,346.256,340.8993,342.1849,10916900
Day50,342.8277,346.0418,338.9709,343.8991,24513600
Day51,343.8991,345.1847,342.1849,342.8277,25099300
Day52,343.2563,345.1847,341.3279,343.6848,27158200
Day53,343.8991,345.1847,342.1849,344.1133,38112000
Day54,344.5419,344.5419,340.6851,341.3279,25150700
Day55,341.7564,343.2563,339.82800000000003,340.2565,22073700
Day56,340.6851,341.3279,338.1139,339.1852,30213600
Day57,340.2565,345.6132,338.5424,339.1852,54736400
Day58,338.1139,339.82800000000003,334.4713,339.3995,44598100
Day59,339.82800000000003,344.9704,339.3995,340.2565,40813700
Day60,340.6851,342.3992,339.1852,340.4708,22437300
Day61,340.4708,341.5421,337.0425,337.6853,22336600
Day62,336.8283,341.1136,336.8283,338.7567,22615300
Day63,337.8996,340.6851,335.3284,337.2568,32637000
Day64,336.8283,339.1852,335.1141,335.7569,23211900
Day65,336.3997,336.8283,334.2571,334.4713,39443500
Day66,335.1141,337.4711,332.5429,332.7572,36095900
Day67,332.1144,334.0428,331.2573,332.7572,22881100
Day68,332.9714,335.5427,331.4716,334.8999,17366600
Day69,334.8999,335.9712,333.4,335.5427,12157500
Day70,334.4713,335.9712,332.9714,334.0428,12828900
Day71,333.4,334.6856,329.9717,334.2571,20028100
Day72,333.1857,334.8999,331.9001,332.1144,16135100
Day73,332.1144,333.6142,330.6145,333.4,11673100
Day74,333.6142,334.6856,332.7572,334.4713,12687800
Day75,334.4713,335.5427,332.5429,335.3284,18543800
Day76,335.3284,341.1136,335.3284,338.3281,43942500
Day77,338.7567,339.6137,330.6145,332.7572,45557500
Day78,331.2573,332.5429,326.1149,328.6861,32453600
Day79,328.0433,329.1146,324.1865,325.0436,27211900
Day80,324.8293,325.4721,317.7585,319.0441,38303500
Day81,319.4726,323.1151,318.4013,320.3297,24860300
Day82,320.7582,324.615,319.6869,322.6866,26368600
Day83,323.1151,323.9722,319.6869,320.3297,23108200
Day84,321.1867,321.1867,317.7585,318.6155,20211700
Day85,317.5442,320.1154,313.4731,313.6874,33403800
Day86,312.8303,315.6158,311.759,313.6874,24622300
Day87,312.616,313.9017,309.1878,312.8303,27621400
